artist,art_daily_tr_freq,art_daily_utr_freq,art_daily_dur,art_daily_score
Ten Years After,0/0/0/0/1/1/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/1/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0.98/0.98/0/3.19/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/8/8/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Dhafer Youssef,0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/3.08/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Vangelis,0/1/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/1/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/5.74/13.9/5.74/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/10/20/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
New Order,0/0/0/2/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/3/0/3/13/8/2/3/2/3/17/14/4,0/0/0/2/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/3/0/3/12/6/2/3/2/3/16/12/2,0/0/0/10.11/0/0/0/7.49/0/0/0/0/0/0/0/0/0/0/0/20.15/0/11.52/86.84/62.68/17.65/23.3/13.02/24.26/85.89/72.34/23.86,0/0/0/19/0/0/0/11/0/0/0/0/0/0/0/0/0/0/0/29/0/27/110/66/21/30/20/30/138/110/29
Pink Floyd,0/0/0/0/2/2/0/0/0/1/0/0/0/0/0/0/0/0/1/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/2/0/0/0/1/0/0/0/0/0/0/0/0/1/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/9.94/16.41/0/0/0/4.97/0/0/0/0/0/0/0/0/4.97/0/4.97/0/0/0/0/0/0/0/0/0/0,0/0/0/0/15/21/0/0/0/10/0/0/0/0/0/0/0/0/10/0/10/0/0/0/0/0/0/0/0/0/0
Alberto Radius,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4.46/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0
The The,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/9.58/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/12/0/0/0/0/0/0/0/0/0
Fairport Convention,1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,5.17/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Ultravox,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4.41/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0
Jimmy Smith,0/0/0/0/1/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/8.05/11.45/3.4/0/0/0/0/0/0/0/0/0/0/0/0/0/8.05/0/0/0/0/0/0/0/0/0/0,0/0/0/0/11/20/9/0/0/0/0/0/0/0/0/0/0/0/0/0/11/0/0/0/0/0/0/0/0/0/0
Mal Waldron,0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/6.94/6.94/0/0/0/0/0/0/0/0/0/0/0/0/0/0/6.94/0/0/0/0/0/0/0/0/0/0,0/0/0/0/11/11/0/0/0/0/0/0/0/0/0/0/0/0/0/0/11/0/0/0/0/0/0/0/0/0/0
"Emerson, Lake & Palmer",1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,4.27/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Kaja,0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/8/2/3/0/0/0/0/0/2/0/0/0,0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/7/2/3/0/0/0/0/0/2/0/0/0,0/0/0/0/0/0/4.46/0/0/0/0/0/0/0/0/0/0/0/0/36.53/10.93/13.91/0/0/0/0/0/10.73/0/0/0,0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/64/19/27/0/0/0/0/0/19/0/0/0
Mezquita,0/0/4/6/0/0/0/1/0/0/0/0/14/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/4/6/0/0/0/1/0/0/0/0/14/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/22.46/23.45/0/0/0/3.53/0/0/0/0/69.5/0/0/0/0/3.53/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/37/51/0/0/0/9/0/0/0/0/117/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0
Strawberry Alarm Clock,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1.9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Golden Earring,0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/9.27/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
CAN,0/0/0/0/2/0/0/1/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/2/0/0/1/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/15.2/0/0/7.38/0/0/0/0/0/0/0/0/0/0/11.78/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/21/0/0/11/0/0/0/0/0/0/0/0/0/0/13/0/0/0/0/0/0/0/0/0/0/0/0
Le Orme,0/1/1/0/0/1/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0,0/1/1/0/0/1/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0,0/7.51/7.51/0/0/3.59/0/0/0/0/0/5.48/0/0/0/0/0/0/0/0/0/0/0/0/0/7.51/0/0/0/0/0,0/11/11/0/0/9/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/11/0/0/0/0/0
Aphrodite's Child,0/0/0/0/2/2/1/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/2/2/1/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/10.47/10.47/0.93/0/0/0/0/0/0/0/0/5.89/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/19/19/8/0/0/0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Thelonious Monk,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/8/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/8/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/32.63/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/67/0/0/0/0/0/0/0/0/0
Miles Davis,0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0,0/0/0/6.34/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/5.99/0/0/0/0/0/0/0/0/0,0/0/0/11/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/11/0/0/0/0/0/0/0/0/0
Leonard Cohen,0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/3.48/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Andre Francis,0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/1.23/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/8/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Depeche Mode,0/0/0/9/0/0/0/2/0/0/0/0/0/0/0/0/0/0/0/2/2/1/10/12/5/0/2/4/0/2/1,0/0/0/9/0/0/0/2/0/0/0/0/0/0/0/0/0/0/0/2/2/1/9/10/5/0/2/4/0/2/1,0/0/0/42.22/0/0/0/12.33/0/0/0/0/0/0/0/0/0/0/0/17.52/10.69/9.59/50.01/76.23/29.52/0/10.21/30.78/0/9.54/6.34,0/0/0/77/0/0/0/20/0/0/0/0/0/0/0/0/0/0/0/21/19/12/81/97/46/0/19/39/0/19/11
Gentle Giant,0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/3.19/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Jerry Garcia Band,0/0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/5.52/5.52/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/10/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Battles,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/3.92/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10/0/0
Area,0/0/2/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/1/1/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/13.28/13.28/4.54/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/16/16/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
The Stranglers,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/4.12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Toufic Farroukh,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/11.24/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/19/0/0/0/0/0/0/0/0/0
Focus,0/3/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0,0/3/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0,0/16.48/4.06/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/7.21/0/0/0/0/0,0/28/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/18/0/0/0/0/0
Tangerine Dream,0/1/0/0/1/3/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/1/0/0/1/2/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/16.96/0/0/3.18/11.5/3.18/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/14/0/0/9/23/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Pet Shop Boys,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4/4/0/1/1/1/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/4/3/0/1/1/1/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/21.26/25.6/0/8.66/4.68/3.6/0/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/36/34/0/12/10/9/0/0/0
Anouar Brahem,0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/2/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/4.0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/12.85/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/10/0/0/0/0/0/0/0/0/0/0/0/0/0/0/20/0/0/0/0/0/0/0/0/0
Eric Burdon & the Animals,0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/3.32/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Triana,0/1/8/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0,0/1/8/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0,0/4.39/43.62/0/9.84/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/9.84/0/0/0/0/0,0/10/70/0/12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/12/0/0/0/0/0
NEU!,0/5/12/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0,0/5/10/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0,0/24.25/60.76/0/0/0/0/0/0/10.12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/10.12/0/0/0/0,0/44/94/0/0/0/0/0/0/12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/12/0/0/0/0
Yes,5/3/4/2/2/0/0/1/0/2/0/0/15/13/2/17/13/26/0/7/5/0/1/1/0/1/1/0/0/0/15,5/3/4/2/2/0/0/1/0/2/0/0/15/11/2/10/13/25/0/7/5/0/1/1/0/1/1/0/0/0/15,29.08/21.43/25.92/9.06/7.92/0/0/3.93/0/14.44/0/0/99.26/89.39/15.12/87.55/78.9/192.75/0/46.24/24.21/0/5.81/5.26/0/6.58/3.16/0/0/0/75.03,46/30/38/19/18/0/0/10/0/20/0/0/130/106/21/114/112/218/0/64/44/0/10/10/0/11/9/0/0/0/126
Curved Air,0/2/1/1/1/0/0/1/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/1/0/0/0/0,0/2/1/1/1/0/0/1/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/1/0/0/0/0,0/11.13/7.51/7.51/7.51/0/0/3.62/0/0/0/0/0/0/0/0/0/0/7.51/0/0/0/0/0/0/0/7.51/0/0/0/0,0/19/11/11/11/0/0/9/0/0/0/0/0/0/0/0/0/0/11/0/0/0/0/0/0/0/11/0/0/0/0
The Beach Boys,0/0/0/0/1/2/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/2/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/2.63/4.79/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/9/17/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Irmin Schmidt,0/0/0/0/1/1/0/0/1/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/1/0/0/1/0/0/0/0/0/0/0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0,0/0/0/0/3.49/3.49/0/0/3.49/0/0/0/0/0/0/0/0/0/0/0/3.49/0/0/0/0/0/0/0/0/0/0,0/0/0/0/9/9/0/0/9/0/0/0/0/0/0/0/0/0/0/0/9/0/0/0/0/0/0/0/0/0/0
Creedence Clearwater Revival,0/0/0/0/2/1/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/1/1/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/6.16/2.95/0/3.08/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/14/9/0/9/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
Locanda delle fate,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/1/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/9.86/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/12/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
