track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,plays,dt,unique_days_score,track_score,artist_score,album_score,section,month
5PtndrR1yYsj2BSoo89S6w,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - New Stereo Mix 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-04T13:46:17,622533,4,2026-05-04,3.0,12.62,1113.7,536.3889999999999,3,6
176RyR4Ac2kU0bEI4uycWs,0V7yj1nGYDsBjlMrsI5w5C,4RuYtHjAKBufQRqBUMiOfK,Traccia II,Banco Del Mutuo Soccorso,Io Sono Nato Libero,2026-05-01T10:37:02,159226,1,2026-05-01,1.5,4.45,320.74,9.093,1,7
6Qjc36CLNJHkWwSNIPbghM,58MQ0PLijVHePUonQlK76Y,36QJpDe2go2KgaRleHCDTp,The Lemon Song - Remaster,Led Zeppelin,Led Zeppelin II (Remaster),2026-05-06T14:31:14,379388,1,2026-05-06,1.5,5.48,53.52,5.731999999999999,1,7
5iyCSUM7zzficwaGo8GIoc,1klALx0u4AavZNEvC4LrTL,3WrFJ7ztbogyGnTHbHJFl2,Savoy Truffle - Remastered 2009,The Beatles,The Beatles (Remastered),2026-05-10T21:17:52,174466,1,2026-05-10,1.5,4.54,174.88,46.024,1,7
0suLngfo7rJoetk7Ub6N8l,0ETFjACtuP2ADo6LFhL6HN,3WrFJ7ztbogyGnTHbHJFl2,Octopus's Garden - Remastered 2009,The Beatles,Abbey Road (Remastered),2026-05-07T08:32:00,170720,2,2026-05-07,3.0,7.85,174.88,12.697,1,7
0tFiuH4S1B8jSr9jVYZPez,0ACOqjq9mQuCZry2kj5zkB,22bE4uQ6baNwSHPVcDxLCe,The Singer Not The Song - Mono Version,The Rolling Stones,The Rolling Stones Singles Collection: The London Years,2026-05-12T21:17:09,142226,1,2026-05-12,1.5,4.33,275.71,3.742,1,7
4m1NnqNTUbXO0YDuFPJqJf,7oT1CbeyKlCJOsxmELnMMW,5hlBb5u8K5D8yrL8jwZ7N9,Recuerdos de una noche - En directo 1975,Triana,El patio 40 Aniversario,2026-05-03T16:41:51,284066,1,2026-05-03,1.5,5.12,101.68,54.3,1,7
6YmnF4T8NFadmlIbF6yGjB,0HoF3Ir1IYbIkvrxXrLGOB,7AC976RDJzL2asmZuz7qil,Tempus Fugit,Yes,Drama (Deluxe Edition),2026-05-05T05:54:01,315426,2,2026-05-05,3.0,8.66,365.62,49.045,1,7
0UeKMKb98sqhKhbKYdCxf4,2Q5MwpTmtjscaS34mJFXQQ,22bE4uQ6baNwSHPVcDxLCe,The Spider And The Fly - Remastered 2002,The Rolling Stones,Out Of Our Heads,2026-05-06T12:00:34,218026,2,2026-05-06,3.0,8.16,275.71,13.605,1,7
7oITpghqeYM0RfRK17efLY,7F6dgfm0QnJvDAXux6spJq,1MD5pgVzlusqGyuSTcTxvu,Cyber Alpha,Premiata Forneria Marconi,Stati Di Immaginazione,2026-05-02T17:19:45,268146,2,2026-05-02,3.0,8.45,311.22,14.512,1,7
7JTaExKeVhJ7zxONogTgnO,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Going for the One - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-13T11:54:04,331840,1,2026-05-13,1.5,5.32,365.62,111.94899999999998,1,7
64EYxmO7v1pNbSgKvXNkfk,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,Melting the Ice Away,Kajagoogoo,Islands,2026-05-11T14:06:15,318613,2,2026-05-11,3.0,8.68,1090.08,706.9669999999999,1,7
4LRwNbgbd6DusUfOWREM9G,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,Turn Your Back on Me - Extended Mix,Kajagoogoo,Islands,2026-05-06T23:30:59,305186,2,2026-05-06,3.0,8.62,1090.08,706.9669999999999,1,7
7HDv9WfmLNinEJx8iZIE1m,659kn6tY6zC9jy56kzIW51,1CD77o9fbdyQFrHnUPUEsF,Dream Gerrard,Traffic,When The Eagle Flies,2026-05-02T15:56:13,662173,2,2026-05-02,3.0,9.71,83.16,20.215,1,7
54VkF8s3BevKAX0JSwuf0O,30OBaYcCeQ71rdVWSpbTgC,7B9i94mmRUGH35kAyuUEDD,Starship Trooper/ Wurm,"Anderson, Squire, Howe",Tales Of Future And Past,2026-05-04T08:39:11,741960,6,2026-05-04,4.5,16.98,119.88,93.576,1,7
26oHuX40kl6CbJOE2fYzp2,5KlxVQrxfXom4ttbE6trkc,3UtSTTCQ0EMUQxmsfZ3Px1,Vivaldi,Curved Air,Air Conditioning,2026-05-02T11:24:16,450560,4,2026-05-02,6.0,15.16,107.96,51.46,1,7
5u9lMPTlPZznzjFFh5ZdeX,4irlewoGTUPndEinKcavLF,02frazNrWgZCxUEf4UTfHt,Arrow - 2005 Digital Remaster,Van Der Graaf Generator,Godbluff,2026-05-12T20:38:09,587826,4,2026-05-12,6.0,15.54,1113.7,206.663,1,7
0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Sequenze E Frequenze - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-13T13:53:55,425120,5,2026-05-13,7.5,17.9,810.5,207.978,1,7
67lISLYh5V9Phsqxccml2W,3rZr444E1UN1z6Mo90hiLQ,4l8xPGtl6DHR2uvunqrl8r,Oh Yeah,CAN,Tago Mago (Remastered),2026-05-08T19:23:26,442946,1,2026-05-08,1.5,5.7,35.75,6.204,1,7
6PnG9i1lpihdIBHHFg0M6Y,6RjHOFz283XfJ7o7RwqaIT,5U16QlMnlSAhkQxBZpLyLO,Mr Evasion,The Pretty Things,S.F. Sorrow,2026-05-02T11:33:46,210333,2,2026-05-02,3.0,8.12,29.24,13.470999999999998,1,7
1rw12PalmC8IDoygHT3fm1,1VHLlFuKZYLVhnLanVzJxF,0nCiidE5GgDrc5kWN3NZgZ,From the Beginning,"Emerson, Lake & Palmer",Trilogy,2026-05-01T20:55:01,256333,1,2026-05-01,1.5,4.99,12.99,4.774,1,7
2WtslakEz6s0PcIgynJpnc,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Oceano Di Silenzio - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-13T13:46:55,265120,2,2026-05-13,3.0,8.44,810.5,207.978,2,7
5Rzt1zCXx81n5CH8d4CXQo,18QlJWuxHQ1IGQ52qf8T1m,0f3kLT4wvi2mFHlHJgV8Hl,Big Apple - Metro Mix,Kajagoogoo,The Very Best Of Kajagoogoo,2026-05-07T15:59:32,365880,6,2026-05-07,6.0,17.45,1090.08,71.741,2,7
4qVjaG8Z0Mh4yRUuEUknty,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,Squid/Octopus - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:32:34,924596,1,2026-05-13,1.5,6.7,1113.7,31.566999999999997,2,7
64P3zpRsDHIk7YTpRtaKYL,1klALx0u4AavZNEvC4LrTL,3WrFJ7ztbogyGnTHbHJFl2,Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,The Beatles (Remastered),2026-05-06T14:55:13,144773,3,2026-05-06,3.0,9.16,174.88,46.024,2,7
5s6gA3IQTbVqv8utc5jVcn,4yMdFHGZTkXQsU4M55VjeZ,1YTe4dNIoWX3iHX8H4xVeM,Cats Under The Stars,Jerry Garcia Band,Cats Under the Stars (Expanded),2026-05-06T12:06:03,331000,2,2026-05-06,3.0,8.73,30.46,15.531,2,7
23Glh1ykxUAZI43Ac9E8xw,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,The Great Deceiver,King Crimson,Starless And Bible Black,2026-05-08T20:22:26,241945,1,2026-05-08,1.5,4.93,416.6,46.97,2,7
5OJCbL1RVFYSw07C9e0QUS,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Lemmings (Including Cog) - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-05T16:04:29,696520,6,2026-05-05,7.5,19.89,1113.7,536.3889999999999,3,7
5D89JSsYD209JA2FTTwHtS,3nkLkuSpD5bMzG1ibkJw5N,4RuYtHjAKBufQRqBUMiOfK,Campi di Fragole,Banco Del Mutuo Soccorso,Transiberiana (Bonus Tracks Version),2026-05-06T21:57:36,214267,1,2026-05-06,1.5,4.78,320.74,35.181999999999995,3,7
0bv5vUJCvXM9G0cbjeikyY,6YhvR14clg0yibdTKB5aBv,5GXruybcLmXPjR9rKKFyS6,Back At The Chicken Shack,Jimmy Smith,Back At The Chicken Shack,2026-05-06T08:18:50,483093,2,2026-05-06,3.0,9.26,55.66,17.793999999999997,3,7
3RpQJrHPISBYkIYaoL4leS,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,Lament,King Crimson,Starless And Bible Black,2026-05-03T06:42:09,245318,3,2026-05-03,4.5,11.38,416.6,46.97,3,7
64P3zpRsDHIk7YTpRtaKYL,1klALx0u4AavZNEvC4LrTL,3WrFJ7ztbogyGnTHbHJFl2,Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,The Beatles (Remastered),2026-05-06T00:35:56,144773,3,2026-05-06,3.0,9.16,174.88,46.024,3,7
2TD9Ve5cJai60TYSEidgxD,3g5jmuT4kXPUbSGsOgKJF4,4RuYtHjAKBufQRqBUMiOfK,Il Mietitore,Banco Del Mutuo Soccorso,Storie Invisibili,2026-05-07T08:40:24,216506,3,2026-05-07,3.0,9.71,320.74,23.64,3,7
5OJCbL1RVFYSw07C9e0QUS,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Lemmings (Including Cog) - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-08T14:54:24,696520,6,2026-05-08,7.5,19.89,1113.7,536.3889999999999,1,8
3APHT3KjbHi9OllkVQsuXF,3RFenjlpdmIfkYATMdkbak,7siPLyFwRFYQkKgWKJ5Sod,Bohemian Like You,The Dandy Warhols,Thirteen Tales From Urban Bohemia,2026-05-09T02:41:02,211706,5,2026-05-09,4.5,13.89,541.93,270.60099999999994,1,8
6mCjrBuLeqdZzvowLBQeJp,59GiU04zZYyxM3HQrunKlF,7K2LDhsZ8A4LKlLPPpcKFS,In the Stable of the Sphinx,East Of Eden,Mercator Projected,2026-05-03T06:05:07,510386,1,2026-05-03,1.5,5.88,27.35,6.669,1,8
4KvZyvmPbLzCMn5Hfd1Deo,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Summer On A Solitary Beach - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-12T19:55:09,210813,1,2026-05-12,1.5,4.77,810.5,207.978,1,8
5u9lMPTlPZznzjFFh5ZdeX,4irlewoGTUPndEinKcavLF,02frazNrWgZCxUEf4UTfHt,Arrow - 2005 Digital Remaster,Van Der Graaf Generator,Godbluff,2026-05-03T23:04:06,587826,4,2026-05-03,6.0,15.54,1113.7,206.663,1,8
16q0i1YK2y41gMeJrBFXnv,4ahL5vlNhi3Ob0c6syAMSg,31oFtS8VXHkm8YVypYsw89,Así Soy Yo,Mezquita,Califas del Rock,2026-05-13T08:34:14,236240,2,2026-05-13,3.0,8.27,269.48,106.742,1,8
6eUnY12Nd9TVWlbBnFQRCw,6wI2sLcBmYzYQd9LFfkbhy,2CqEOngQOOMstJupNn6Hmf,Hallogallo,NEU!,NEU!,2026-05-10T10:50:49,607426,5,2026-05-10,4.5,15.41,193.81,124.312,1,8
4xMIvU75BVq0UOB5fi7Vgb,0OWIVcNE4aItrlRvMUVueO,762310PdDnwsDxAQxzQkfX,Only When I Lose Myself - Single Version,Depeche Mode,Ultra (Deluxe),2026-05-04T13:51:24,274000,1,2026-05-04,1.5,5.08,103.54,10.505,1,8
70gsGvTtjXyYAp0M1X6DPH,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,Big Apple - Metro Mix,Kajagoogoo,Islands,2026-05-07T15:39:36,365880,6,2026-05-07,6.0,17.45,1090.08,706.9669999999999,1,8
6wNZa5e5DVBwMbqB4uYuXp,0Ft1jEOyGY74ZgHb1FYO4U,4RuYtHjAKBufQRqBUMiOfK,750.000 anni fa... l'amore?,Banco Del Mutuo Soccorso,Darwin!,2026-05-01T10:37:02,338093,2,2026-05-01,3.0,8.77,320.74,15.659,1,8
7sMYoSEOYql0EwuWvchgD9,4ODlRs61uBFoP7HspXs1je,22bE4uQ6baNwSHPVcDxLCe,The Under Assistant West Coast Promotion Man - Edit / Mono,The Rolling Stones,Out Of Our Heads (UK),2026-05-12T20:59:39,187866,1,2026-05-12,1.5,4.63,275.71,4.18,1,8
47sJPdCkjVfLJWBFhwJiuE,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,The Sheltering Sky,King Crimson,Discipline,2026-05-10T06:54:16,502480,4,2026-05-10,6.0,15.31,416.6,74.219,1,8
4dbkLjN9IDo10Hr0j1zexs,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Vevey (Revisited) - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-13T13:06:03,282213,1,2026-05-13,1.5,5.11,365.62,111.94899999999998,1,8
0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Sequenze E Frequenze - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-02T18:53:03,425120,5,2026-05-02,7.5,17.9,810.5,207.978,1,8
2mEq5IjwOEvohBfU5kLBj5,5McXJRYbHlahdYE09eonkE,1SQRv42e4PjEYfPhS0Tk9E,Shangri-La (2019 Remaster),The Kinks,Arthur or the Decline and Fall of the British Empire (2019 Remaster),2026-05-08T20:13:26,320527,3,2026-05-08,4.5,11.75,127.13,9.827,1,8
5tb8T4WJ5SULuf8lNkVfEp,06we4RiGhODMsbAPWmogy2,762310PdDnwsDxAQxzQkfX,The Things You Said,Depeche Mode,Music for the Masses (Deluxe),2026-05-04T13:46:18,242893,1,2026-05-04,1.5,4.93,103.54,4.666,1,8
62Fwn4Ym39BlytL3KNBMAI,2W0juo4ye4hI0mXRqtZldr,4lianjyuR1tqf6oUX8kjrZ,The Age Of Ermafrodites,Franco Battiato,Campi Magnetici - I Numeri Non Si Possono Amare,2026-05-03T10:35:25,389320,1,2026-05-03,1.5,5.51,810.5,5.804,1,8
5TGBpTDgnaCDf0zOQAmkWK,3RFenjlpdmIfkYATMdkbak,7siPLyFwRFYQkKgWKJ5Sod,Nietzsche,The Dandy Warhols,Thirteen Tales From Urban Bohemia,2026-05-10T13:50:09,340626,2,2026-05-10,3.0,8.77,541.93,270.60099999999994,1,8
3nhQ0t5o70uHAzEgYDedX2,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-05T21:53:37,619800,9,2026-05-05,9.0,24.81,1113.7,536.3889999999999,1,8
1qkp9OvCk8FjeDdEd2bKQ6,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Alpha,Vangelis,Albedo 0.39,2026-05-02T12:15:23,344293,3,2026-05-02,4.5,11.85,62.38,36.58,1,8
0YfCp9A9yqeITGsOwVyi51,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Main Sequence,Vangelis,Albedo 0.39,2026-05-03T08:50:31,489840,1,2026-05-03,1.5,5.83,62.38,36.58,2,8
5dC9NQCbU6i3T3S4nyg23y,7GkJWXDdRuZyUvVKCbKujO,1BGN1IdyiSR0ZYrkoKNchl,Tiergarten,Tangerine Dream,"Platz der Republik, West-Berlin - August 1st 1987",2026-05-05T17:14:59,190533,4,2026-05-05,4.5,12.43,90.78,43.81699999999999,2,8
73RVbX3YhvDYTSyrzKguSi,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Parallels - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-01T21:58:27,353906,4,2026-05-01,6.0,14.8,365.62,111.94899999999998,2,8
4PCwwYtVKob3Xhe4mQ6TFl,6NiJ8vCXUZoeqUIyhUDNZX,45Utoxop3UFq0Qg9YFLhx0,La Porta Chiusa,Le Orme,Uomo Di Pezza,2026-05-03T06:12:37,450826,2,2026-05-03,3.0,9.16,57.4,22.687,2,8
5FgQkEcqMXCqFdcsEx143b,2lWDphDAlgk8PNdODreJwv,2XhhAWeUOlrZnGOB7aKEI8,The Four Horsemen,Aphrodite's Child,6 6 6,2026-05-06T01:31:57,353426,2,2026-05-06,3.0,8.82,62.09,33.224000000000004,2,8
26Xb1Ud7QshGHH3o7IfA76,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,The Loop,Kajagoogoo,Islands,2026-05-06T23:00:36,282480,2,2026-05-06,3.0,8.51,1090.08,706.9669999999999,2,8
1D1HOr5KimN1bsk5owwnGQ,3pfV6VcferUPyQ8fG8Ejrt,7siPLyFwRFYQkKgWKJ5Sod,The Summer Of Hate,The Dandy Warhols,ROCKMAKER,2026-05-09T02:32:32,198003,1,2026-05-09,1.5,4.69,541.93,9.063,3,8
4Xnx46oORhi3xt5m23Qzse,08WECxW5Pz0dIcEabHkIzU,1MD5pgVzlusqGyuSTcTxvu,Transumanza jam - Live in Lugano,Premiata Forneria Marconi,The Event - Live in Lugano,2026-05-12T08:20:41,202560,2,2026-05-12,3.0,8.07,311.22,13.323,3,8
3eFHv2F3wNKjpnip3w6waZ,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,The Garden - Instrumental,Kajagoogoo,Islands,2026-05-07T09:03:09,171373,5,2026-05-07,3.0,12.09,1090.08,706.9669999999999,3,8
1LZQZxE7MTmNLvpPkAAXJT,5EVlXlHbRQI8ybuNt4ArXI,6v8FB84lnmJs434UJf2Mrm,Birds,Neil Young,After the Gold Rush (2009 Remaster),2026-05-05T12:27:31,153373,1,2026-05-05,1.5,4.41,25.1,3.855,3,8
6mRr2nzDX9kgTuGWgMn8P2,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Wave Mother,NEU!,NEU!,2026-05-03T15:35:51,292786,1,2026-05-03,1.5,5.16,193.81,124.312,3,8
0xSvfXYyDqQ3sncpGveHbg,4Ji83LjzvEzFoCpN85m5lW,08GQAI4eElDnROBrJRGE0X,Rattlesnake Shake - 2013 Remaster,Fleetwood Mac,Then Play On (2013 Remaster; Expanded Edition),2026-05-07T19:21:12,210156,2,2026-05-07,3.0,8.12,69.48,17.785999999999998,3,8
