album_id,album_name,duration_min
1GOUMwPQw5xCizmD1Ixala,Pawn Hearts (Deluxe),496.03000000000003
0xM84XzqFGTDsFjPgCrXh9,Islands,312.18
1UQRYIgVBO9izI17mpoYOX,The Complete Albums,257.06
43GYHKcDsX1iO3KTwPwyfo,From A Page,248.01000000000002
4RD4REp6RE2kVZ96Uf1TgB,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),228.62
4irlewoGTUPndEinKcavLF,Godbluff,172.6
2U4JHXMiBxsKH4dnYEQg2g,Going for the One (Deluxe Edition),166.61
0HoF3Ir1IYbIkvrxXrLGOB,Drama (Deluxe Edition),140.76
3RFenjlpdmIfkYATMdkbak,Thirteen Tales From Urban Bohemia,139.62
0b33cACjsSPVBchGgsFGMu,Universi paralleli di Franco Battiato,117.19
3bv61FtZROBfEagLwmds3I,Remixes 81>04,115.88
3gISC18IyM5W4fd3bVz9hk,Serendipity,111.35000000000001
5xFlkqLDx3wbgqtvrez1n0,The Pleasure Principle,109.86
68W3ppXWhsOLOURmxzRkyA,In The Wake Of Poseidon,97.36
2s4Imr2HMS9Dk5Jp5AooTu,I Dreamed of Electric Sheep,94.10000000000001
1Apj3GZ0D7l94CFA5qInjr,Darwin (1991 Edition),93.84
20dTbQRkxuOTkf3SFyaT2m,Discipline,89.59
2W0juo4ye4hI0mXRqtZldr,Campi Magnetici - I Numeri Non Si Possono Amare,74.39
30OBaYcCeQ71rdVWSpbTgC,Tales Of Future And Past,74.22
2FJaS5kootX9CkS4DxL2eW,Still Life,70.31
0PSWY4XyjTWppfBb0tBtqu,Brotherhood (Collector's Edition),69.45
1uXol4dKqzMsUiqvHpwhZh,Close to the Edge (Super Deluxe Edition),64.77000000000001
4ahL5vlNhi3Ob0c6syAMSg,Califas del Rock,64.02
52koatNHePHRWEmmkP0z2Z,White Feathers,62.77
0B840ackxxJhZFcN2k6pGk,The Box,59.08
2xJFvV7JzoYYMere5rqjVf,The Raven That Refused to Sing (and Other Stories),58.93
0QXX3eaggwqZXkHJ1zwaGC,Recuerdos De Mi Tierra (Remasterizado 2023),58.45
6gp8D4NmYCcBz55J0s4QXH,Beat,58.06
7cIIPSmmeDUaChBSJElK78,The Rest of New Order,53.599999999999994
7oT1CbeyKlCJOsxmELnMMW,El patio 40 Aniversario,53.46
6MK9yp7hFeOLeR7F1hsBp6,Relayer (Deluxe Edition),53.089999999999996
6wI2sLcBmYzYQd9LFfkbhy,NEU!,50.599999999999994
4sWf0wkRfi49tW4NLxdLj2,Fisiognomica (2008 Remastered Edition),46.839999999999996
4tPuH2J8xL4JU91QFTWDUJ,L'enigma Della Vita,45.84
7m6StTtrbnkaC6FkDVNnTe,NEU!,44.53
1n6mujGDmusUYHfuFtZZvJ,"H To He, Who Am The Only One (Deluxe)",44.38
6eYidTACXD5W50kNcfMMhQ,Trisector,41.87
08WECxW5Pz0dIcEabHkIzU,The Event - Live in Lugano,38.66
1NeJ0QqKv002iYDiOCaUOA,Per Un Amico,37.68
5KlxVQrxfXom4ttbE6trkc,Air Conditioning,37.55
1gFxD1QvxsUkafEuIeJ0LW,The Pawn Hearts Sessions,37.32
4vvx8uOeJE7YR4tORVtYV4,Lizard,36.23
5A1knO3o9ippL0nFuKl0Kh,THRAK,35.71
2OCcLfOyYhjOiWLBW0dIE2,Best Remixes,35.11
18QlJWuxHQ1IGQ52qf8T1m,The Very Best Of Kajagoogoo,34.62
5XYodUvdFXy3LiSJ6UfNvF,A Love Supreme (Deluxe Edition),34.0
4sdT5KV2MJAik048qExBOs,Crazy People's Right To Speak,33.54
1Bw3bHsQ9Xwlalhp4NjX1n,Mondi Lontanissimi (2008 Remastered Edition),32.370000000000005
5ZJrRUIm6apjER9MNU7QBJ,Archive #2 (1976 - 1992),31.89
6vUUBFECAo0oLUWfjqmXtZ,Live In Japan 2002,31.330000000000002
6ELt0QaMOwPGPzfdEXE839,Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),31.16
47fRf3JwriMUPPzFjdvNS6,Please: Further Listening 1984 - 1986 (2018 Remaster),30.3
3IPhWIXHOAhS2npnq6FiCG,Ummagumma,29.82
4ttC4XUinZXn3GMIQNrjFZ,Starless And Bible Black,29.77
1rZGSWC3pMmejDwYG0ZXma,Selling England by the Pound (2007 Stereo Mix),29.71
0Tg76MY2wNK4j37iCb6qyH,Violator (Deluxe),29.07
2lWDphDAlgk8PNdODreJwv,6 6 6,27.759999999999998
6DExt1eX4lflLacVjHHbOs,Pronounced' Leh-'Nerd 'Skin-'Nerd,27.36
32QIAykZFP3GI8Q5QqoNCD,Construction Time Again (Deluxe),26.89
36EzzM52hSYnWYwsdrWPGG,Crac!,26.56
0V7yj1nGYDsBjlMrsI5w5C,Io Sono Nato Libero,26.2
51pz4wvc0BPtjnGCWjxX91,Storia Di Un Minuto,25.6
7M2EhhKnJYcmluPNzmB35N,Albedo 0.39,25.380000000000003
5GuP6isw4DZpsTaucdWkC5,The Least We Can Do Is Wave To Each Other,25.33
1klALx0u4AavZNEvC4LrTL,The Beatles (Remastered),25.13
3Ki82G9PYYeZZuT9apAFn0,"Live at Rockpalast (Live, 2005 Leverkusen)",24.39
6YhvR14clg0yibdTKB5aBv,Back At The Chicken Shack,24.150000000000002
449iPnRQ6t3arPePfjLtYL,Afro Blue Impressions (Remastered & Expanded),24.11
2YDrjd7cl5Lz2mjl3do6iz,The Lost Tapes,23.56
0Ft1jEOyGY74ZgHb1FYO4U,Darwin!,23.46
5Vb3tKCzxT6qzbq5Smh4TM,The Dandy Warhols Come Down,23.41
3vHxkAyC36Bi581ZUysCtZ,La Voce Del Padrone (Remastered 2021),23.36
3y67YB3vSbaopIg1VoAO1n,Foxtrot (2007 Stereo Mix),23.1
1sBTE8pk2bYgcqI3C0xBnw,Jurassic Shift,22.990000000000002
59eHxfqvwJyXhJGGtORaHv,Patriots (2008 Remastered Edition),22.72
2JyNDhGhp0hiizSPuUs0i9,The Who Sell Out (Super Deluxe),22.6
3nkLkuSpD5bMzG1ibkJw5N,Transiberiana (Bonus Tracks Version),22.32
659kn6tY6zC9jy56kzIW51,When The Eagle Flies,22.08
6iHuSGy6pq4tNGFV3ZVPtl,Substance,21.59
7Jzr8zL3EqWQQJhFMtRoti,The Cat I Saw Yesterday,20.82
6NiJ8vCXUZoeqUIyhUDNZX,Uomo Di Pezza,20.5
1WeTsUeoyJBDYiqdoCtO8I,Come in un'ultima cena,20.36
2PCEOY4qPikMSRr3wix9V6,In a Word: Yes (1969 – ),20.18
1dbVSQR5jcw5rdngMyA3d8,The Condensed 21st Century Guide To King Crimson (1969 - 2003),19.53
7bJytEOVzTT0TIYfL18hU9,Third,19.12
6hmPrGhVrpJVG8lnl7FLOa,Duty Now For The Future/New Traditionalists,18.35
6iVOz2hudE6dv5Yrcsw2c9,Goats Head Soup (Remastered 2009),18.0
7GkJWXDdRuZyUvVKCbKujO,"Platz der Republik, West-Berlin - August 1st 1987",17.86
2DZEwt8Lhz6PuqxsJWF7Ap,Mirage,17.64
6nNlTIiFd3J06W0rJiiwlz,90125 (Deluxe Version),17.16
1INPNU4BLdbKeLQqcYTGnx,Music Complete,17.0
2OulSxrNGCvCvz5rX7lUH5,L'Arca Di Noè (2008 Remastered Edition),17.0
2vqzKJO8HeMffaSHxg74ln,The Virgin Years: 1974-1978,16.96
4eJ3LJl4sHKs3nd8CZ9hq5,Three of a Perfect Pair,16.75
4Qxx712hAyTvTsl1EsWeRj,Blue Camel,16.68
0jHU4ZZlBe5ydS9LFx3JK4,White Feathers [Manhattan Clique Remixes],16.33
0BZQ56leyRCyZu3jdXMZ87,Just Another Band From East L.A.: A Collection,16.15
2QKQ8eySlOAREIrFsMRCT8,"Music For The Masses | The 12"" Singles",15.95
3tZmzx3Og386HMV4vp4Dli,Caffé De La Paix (2008 Remastered Edition),15.57
47hOpZQfXVIRzTiv0Ef8pO,Let It Bleed (50th Anniversary Edition / Remastered 2019),15.450000000000001
