track,short,plays,track_unique_days,log_dur_min,track_score
The Lion's Mouth,The Lion's Mouth,14,8,1.2809338454620642,40.2
Man-Erg - Remastered 2021,Man-Erg,10,7,2.3350522831315472,34.84
Big Apple,Big Apple,10,8,1.425515074273172,34.56
A Plague Of Lighthouse Keepers - Remastered 2021,A Plague Of Lighthouse Keepers,7,7,3.138533072185662,32.35
Sequenze E Frequenze - Live 1988 / Remastered 2020,Sequenze E Frequenze,8,7,1.958685340544036,30.9
Ooh to Be Ah - The Construction Mix,Ooh to Be Ah,7,7,1.884034745337226,29.21
Parallels - 2003 Remaster,Parallels,7,7,1.7749523509116738,28.94
Lemmings (Including Cog) - Remastered 2021,Lemmings (Including Cog),7,6,2.4518667957098,28.63
The Lion's Mouth - Beast Mix,The Lion's Mouth,8,6,1.7316555451583495,28.33
Into the Lens,Into the Lens,7,6,2.1447610078004784,27.86
Tempus Fugit,Tempus Fugit,7,6,1.6601310267496183,26.65
Apparenza e realtà,Apparenza e realtà,7,6,1.2947271675944,25.74
Thela Hun Ginjeet,Thela Hun Ginjeet,6,6,1.8625285401162623,25.66
No U Turn - Live 1988 / Remastered 2020,No U Turn,6,6,1.4816045409242156,24.7
Nuvole Nere,Nuvole Nere,6,6,1.415853163361435,24.54
"True Faith - Shep Pettibone 12"" Remix",True Faith,6,5,2.203869120054888,24.51
Bandiera Bianca,Bandiera Bianca,7,5,1.3937663759585917,23.98
Into The Storm - Remastered,Into The Storm,6,5,1.9315214116032136,23.83
The Devils Triangle,The Devils Triangle,5,5,2.4527277514237653,23.63
Arrow - 2005 Digital Remaster,Arrow,5,5,2.2823823856765264,23.21
Scorched Earth - 2005 Digital Remaster,Scorched Earth,5,5,2.274185618472348,23.19
Several Species of Small Furry Animals Gathered Together in a Cave and Grooving with a Pict,Several Species of Small Furry Animals Gathered Together in a Cave and Grooving with a Pict,6,5,1.603419840108537,23.01
The Sheltering Sky,The Sheltering Sky,5,5,2.124653884501384,22.81
L'Evoluzione,L'Evoluzione,5,4,2.8195915758351173,22.55
Vivaldi,Vivaldi,5,5,2.0162354657760435,22.54
Does It Really Happen? - LP/Single Version,Does It Really Happen?,5,5,1.884034745337226,22.21
Monochromatic - Live,Monochromatic,7,4,1.42791603581071,22.07
Lies & Promises,Lies & Promises,6,5,1.0647107369924282,21.66
Big Apple - Metro Mix,Big Apple,6,4,1.8082887711792652,21.52
The Power to Forgive,The Power to Forgive,5,5,1.5623463049002495,21.41
Starship Trooper/ Wurm,Starship Trooper/ Wurm,6,3,2.5152741864043966,21.29
The Garden - Instrumental,The Garden,7,4,1.0508216248317612,21.13
The Pump Rooms of Bath,The Pump Rooms of Bath,7,4,0.9360933591703348,20.84
Automaticamente,Automaticamente,6,4,1.4906543764441336,20.73
Voglio Vederti Danzare - Live 1988 / Remastered 2020,Voglio Vederti Danzare,5,5,1.2267122912954254,20.57
Ooh to Be Ah,Ooh to Be Ah,6,4,1.2781522025001877,20.2
Words On A Page - Remastered,Words On A Page,5,4,1.8453002361560848,20.11
To The Moment - Remastered,To The Moment,5,4,1.8261608959453877,20.07
Animal Instincts,Animal Instincts,5,5,0.9932517730102834,19.98
The Man You Always Wanted Me To Be - Remastered,The Man You Always Wanted Me To Be,5,4,1.623340817603092,19.56
Siberian Khatru - 2025 Remaster,Siberian Khatru,4,4,2.192770226986839,19.48
Aliens - Remastered,Aliens,5,4,1.541159071680806,19.35
Killer - Remastered 2021,Killer,4,4,2.1162555148025524,19.29
Hallogallo,Hallogallo,5,3,2.31451366385932,19.29
Geranio,Geranio,4,4,2.0881534822818573,19.22
Pecore Elettriche - Italian version,Pecore Elettriche,5,4,1.425515074273172,19.06
Cool Scene,Cool Scene,5,4,1.4182774069729414,19.05
The Undercover Man - 2005 Digital Remaster,The Undercover Man,4,4,2.020222182019865,19.05
Blue Monday - Hardfloor Mix,Blue Monday,5,3,2.150598735996164,18.88
From The Turn Of A Card - Remastered,From The Turn Of A Card,5,4,1.2149127443642704,18.54
Hour Of Need - Remastered,Hour Of Need,5,4,1.1314021114911006,18.33
Rael - Pt.1 & Pt.2,Rael,4,4,1.7316555451583495,18.33
In Principio,In Principio,4,3,2.438862711286593,18.1
Neurotica,Neurotica,4,4,1.574846467664481,17.94
Gli Uccelli - Remastered 2021,Gli Uccelli,4,4,1.5644405465033646,17.91
Oceano Di Silenzio - Live 1988 / Remastered 2020,Oceano Di Silenzio,4,4,1.4861396960896067,17.72
On a Plane,On a Plane,4,4,1.4422019930581866,17.61
Lament,Lament,4,4,1.4085449700547104,17.52
Turn Your Back on Me,Turn Your Back on Me,4,4,1.3912819026309295,17.48
Awaken - 2003 Remaster,Awaken,3,3,2.7421295147550726,17.36
Ermeneutica,Ermeneutica,4,4,1.2725655957915476,17.18
White Feathers,White Feathers,4,4,1.2584609896100056,17.15
Cuentos Arabes,Cuentos Arabes,4,4,1.2612978709452054,17.15
Two Dolphins Go Dancing,Two Dolphins Go Dancing,4,4,1.249901736214336,17.12
White Feathers - Manhattan Clique Remix Edit,White Feathers,5,3,1.3480731482996928,16.87
Walking The Dog,Walking The Dog,4,4,1.1474024528375415,16.87
Little Red Rooster - (Original Single Mono Version),Little Red Rooster,4,4,1.1249295969854831,16.81
Animal Farm,Animal Farm,4,4,1.1019400787607845,16.75
Bohemian Like You,Bohemian Like You,5,3,1.2612978709452054,16.65
The Fish (Schindleria Praematurus) - 2024 Remaster,The Fish (Schindleria Praematurus),4,4,0.9783261227936078,16.45
The Sleepwalkers - 2005 Digital Remaster,The Sleepwalkers,3,3,2.3683728335320486,16.42
The Gift Of Love - Remastered,The Gift Of Love,3,3,2.2915241456346207,16.23
Free Bird,Free Bird,3,3,2.21046980408624,16.03
Man-Erg - New Stereo Mix 2021,Man-Erg,4,2,2.3398808777377424,15.85
Charm of a Gun,Charm of a Gun,4,3,1.4951487660319729,15.74
Back At The Chicken Shack,Back At The Chicken Shack,3,3,2.0856720914304723,15.71
Your Appetite,Your Appetite,4,3,1.4816045409242156,15.7
The Raven That Refused to Sing,The Raven That Refused to Sing,3,3,2.0731719286662407,15.68
Cat Walk,Cat Walk,3,3,1.937301774518713,15.34
Metal,Metal,4,3,1.2669476034873244,15.17
La discesa dal treno,La discesa dal treno,3,3,1.8325814637483104,15.08
Waiting for the Night,Waiting for the Night,3,3,1.8115620965242347,15.03
Sleep,Sleep,3,3,1.7833912195575383,14.96
The Four Horsemen,The Four Horsemen,3,3,1.7732559976634952,14.93
Pigeons,Pigeons,4,3,1.172482137234565,14.93
Ergonomics,Ergonomics,4,3,1.169381359556317,14.92
Tiergarten,Tiergarten,4,3,1.1568811967920856,14.89
Alpha,Alpha,3,3,1.747459210331475,14.87
A Plague Of Lighthouse Keepers - New Stereo Mix 2021,A Plague Of Lighthouse Keepers,2,2,3.1484533605716547,14.87
La Mela Di Odessa,La Mela Di Odessa,4,2,1.8931119634883424,14.73
Shangri-La (2019 Remaster),Shangri-La (2019 Remaster),3,3,1.6752256529721037,14.69
Melting the Ice Away,Melting the Ice Away,3,3,1.6695918352538477,14.67
Turn Your Back on Me - Extended Mix,Turn Your Back on Me,3,3,1.6272778305624314,14.57
L'Isola Elefante,L'Isola Elefante,3,3,1.5871923034867803,14.47
Cat Food,Cat Food,3,3,1.5851452198650555,14.46
Islands,Islands,3,3,1.5810384379124025,14.45
La Pulce D'Acqua,La Pulce D'Acqua,3,3,1.556037135706985,14.39
Man Gave Names to All the Animals,Man Gave Names to All the Animals,3,3,1.4951487660319729,14.24
Waiting Man,Waiting Man,3,3,1.4951487660319729,14.24
Neal And Jack And Me,Neal And Jack And Me,3,3,1.4747630091074988,14.19
Two Minute Warning,Two Minute Warning,3,3,1.4422019930581866,14.11
A Horse with No Name,A Horse with No Name,3,3,1.4350845252893227,14.09
Monkey Man - Remastered 2019,Monkey Man,3,3,1.4350845252893227,14.09
Le Aquile - Remastered 2008,Le Aquile,3,3,1.430311246536665,14.08
"L'Ombra Della Luce - Live From Teatro Dell'Archivolto, Genova / Italy, 1994",L'Ombra Della Luce,3,3,1.3937663759585917,13.98
Part of Me Is You,Part of Me Is You,3,3,1.3737155789130306,13.93
Shakin',Shakin',3,3,1.3686394258811698,13.92
Paninaro - Italian Remix; 2018 Remaster,Paninaro,3,2,2.158714722574344,13.9
Zai Saman - 2008 Remaster,Zai Saman,3,3,1.355835153635182,13.89
People Are People,People Are People,3,3,1.3532545070416904,13.88
Wonderous Stories - 2003 Remaster,Wonderous Stories,3,3,1.3402504226184837,13.85
L'Era Del Cinghiale Bianco - Live 1988 / Remastered 2020,L'Era Del Cinghiale Bianco,3,3,1.289232648276759,13.72
Aria Di Rivoluzione - Live 1988 / Remastered 2020,Aria Di Rivoluzione,3,3,1.2725655957915476,13.68
Get the Balance Right! - Combination Mix,Get the Balance Right!,3,2,2.0706530356467567,13.68
La Musica Muore - Remastered 2019,La Musica Muore,3,3,1.2669476034873244,13.67
Animals - 2005 Remaster,Animals,3,3,1.2556160374777745,13.64
Summer On A Solitary Beach - Live 1988 / Remastered 2020,Summer On A Solitary Beach,3,3,1.2556160374777745,13.64
Il Re Del Mondo - 1985 Version / 2008 Remaster,Il Re Del Mondo,3,3,1.2412685890696329,13.6
Le aquile non volano a stormi,Le aquile non volano a stormi,3,3,1.235471471385307,13.59
Alexander Platz - Live 1988 / Remastered 2020,Alexander Platz,3,3,1.220829921392359,13.55
Transumanza jam - Live in Lugano,Transumanza jam,3,3,1.2178757094949273,13.54
L'Animale - Remastered,L'Animale,3,3,1.2029723039923526,13.51
Get the Balance Right!,Get the Balance Right!,3,3,1.175573329804238,13.44
Kajagoogoo - Instrumental,Kajagoogoo,3,3,1.1662709371419244,13.42
Hey Bulldog - Remastered 2009,Hey Bulldog,3,3,1.1600209167967532,13.4
Un'Altra Vita - Live 1988 / Remastered 2020,Un'Altra Vita,3,3,1.1019400787607845,13.25
The Age Of Ermafrodites,The Age Of Ermafrodites,3,2,1.8702625307159984,13.18
Dead Pigeon Suite,Dead Pigeon Suite,2,2,2.466403178223441,13.17
Lemmings (Including Cog) - New Stereo Mix 2021,Lemmings (Including Cog),2,2,2.4561641809223462,13.14
Octopus's Garden - Remastered 2009,Octopus's Garden,3,3,1.0473189942805592,13.12
Dream Gerrard,Dream Gerrard,2,2,2.401525040848949,13.0
Freefall,Freefall,3,2,1.7715567619105357,12.93
Machine Messiah,Machine Messiah,2,2,2.347558458636777,12.87
Abre la puerta,Abre la puerta,2,2,2.286455711064162,12.72
La Rossa - 2005 Digital Remaster,La Rossa,2,2,2.28949985344539,12.72
The Gates of Delirium - 2003 Remaster,The Gates of Delirium,2,1,3.0832851705618523,12.71
Never Let Me Down Again - Split Mix,Never Let Me Down Again,2,2,2.253394848803274,12.63
Dog Breath Variations,Dog Breath Variations,3,3,0.7514160886839212,12.38
Rivers,Rivers,3,2,1.5260563034950492,12.32
My Room (Waiting For Wonderland) - 2005 Digital Remaster,My Room (Waiting For Wonderland),2,2,2.086913556518537,12.22
Dancing with the Moonlit Knight - 2007 Stereo Mix,Dancing with the Moonlit Knight,2,2,2.080690761080268,12.2
Turn of the Century - 2003 Remaster,Turn of the Century,2,2,2.069391205826334,12.17
Recuerdos De Mi Tierra - Remasterizado,Recuerdos De Mi Tierra,2,2,2.050270164379556,12.13
Personal Jesus - Pump Mix,Personal Jesus,2,2,2.0515563381903004,12.13
Giubbe Rosse - Remastered 2020,Giubbe Rosse,3,2,1.4445632692438664,12.11
Conversation,Conversation,2,2,2.0294631718735947,12.07
Bird Song,Bird Song,2,2,2.0294631718735947,12.07
Darkness (11/11) [2005 - Remaster],Darkness (11/11) [2005,2,2,2.0149030205422647,12.04
La Porta Chiusa,La Porta Chiusa,2,2,2.0162354657760435,12.04
Blue Monday,Blue Monday,2,2,2.0135687975291283,12.03
The Things You Said,The Things You Said,3,2,1.3987168811184478,12.0
Larks' Tongues In Aspic (Part II),Larks' Tongues In Aspic (Part II),2,2,1.99061032797322,11.98
La grande Pasqua russa,La grande Pasqua russa,2,2,1.9878743481543453,11.97
Cars,Cars,3,2,1.3812818192963463,11.95
Pilgrims - 2005 Digital Remaster,Pilgrims,2,2,1.9740810260220096,11.94
No Quarter - Remaster,No Quarter,2,2,1.951608170169951,11.88
Shouldn't Do That - Disciplined Mix,Shouldn't Do That,2,2,1.9473377010464987,11.87
La carrozza di Hans,La carrozza di Hans,2,2,1.913977101952304,11.78
China Cat Sunflower - 2013 Remaster,China Cat Sunflower,3,2,1.308332819650179,11.77
Il Mietitore,Il Mietitore,3,2,1.2837077723447896,11.71
Cirkus (including Entry of the Chameleons),Cirkus (including Entry of the Chameleons),2,2,1.864080130807681,11.66
Changes,Changes,2,2,1.8468787684491343,11.62
Photographic - Rex The Dog Dubb Mix,Photographic,2,2,1.8468787684491343,11.62
Il Respiro del Tempo - Italian version,Il Respiro del Tempo,2,2,1.843719208158766,11.61
Route 66 - Beatmasters Mix,Route 66,2,2,1.840549633397487,11.6
Going Under,Going Under,3,2,1.2383742310432684,11.6
Big Apple - 12' Extended Version,Big Apple,2,2,1.8164520818184269,11.54
Everything Counts - Absolut Mix,Everything Counts,2,2,1.7984040119467235,11.5
Dove... quando... - II Parte,Dove... quando...,2,2,1.7950872593207297,11.49
Desde Que Somos Dos - Remasterizado,Desde Que Somos Dos,2,2,1.754403682684286,11.39
Moon Rocks,Moon Rocks,2,2,1.7509374747078,11.38
Too Shy - Midnight Mix,Too Shy,2,2,1.749199854809259,11.37
Lizard (Prince Rupert Awakes/Bolero/The Battle of Glass Tears/Big Top),Lizard (Prince Rupert Awakes/Bolero/The Battle of Glass Tears/Big Top),1,1,3.1497400860333387,11.37
Wild Horses,Wild Horses,2,2,1.742219023667919,11.36
Supper's Ready - 2007 Stereo Mix,Supper's Ready,1,1,3.139832617527748,11.35
Medley: A Plague Of Lighthouse Keepers - 2000 Digital Remaster,Medley: A Plague Of Lighthouse Keepers,1,1,3.140265424286289,11.35
Nietzsche,Nietzsche,2,2,1.7369512327330598,11.34
750.000 anni fa... l'amore?,750.000 anni fa... l'amore?,2,2,1.728109442151599,11.32
Man With An Open Heart,Man With An Open Heart,3,2,1.128171090909654,11.32
M.E.,M.E.,2,2,1.7263316639055997,11.32
Run Through The Jungle,Run Through The Jungle,3,2,1.1249295969854831,11.31
L'assalto dei lupi,L'assalto dei lupi,2,2,1.7191887763932197,11.3
The Good Thing,The Good Thing,3,2,1.118414915964289,11.3
Going for the One - 2003 Remaster,Going for the One,2,2,1.7101878155342434,11.28
Cats Under The Stars,Cats Under The Stars,2,2,1.7083778602890038,11.27
L'Immenso Campo Insensato,L'Immenso Campo Insensato,2,2,1.7047480922384253,11.26
Ore,Ore,2,2,1.682688374173693,11.21
Mohammed,Mohammed,2,2,1.6752256529721037,11.19
Godless,Godless,2,2,1.673351238177753,11.18
La Ultima Juerga,La Ultima Juerga,2,2,1.665818245870208,11.16
L'Esodo - 2008 Remaster,L'Esodo,2,2,1.6563214983329508,11.14
Some Skunk Funk,Some Skunk Funk,2,2,1.6428726885203375,11.11
Up Patriots To Arms - Remastered 2008,Up Patriots To Arms,2,2,1.6272778305624314,11.07
Banana Republic,Banana Republic,2,2,1.6213664832993742,11.05
La Grande Corsa - Italian version,La Grande Corsa,2,2,1.615419984111648,11.04
Good Morning,Good Morning,2,2,1.6094379124341005,11.02
Il Ragno,Il Ragno,2,2,1.5953389880545987,10.99
Umani Alieni - Italian version,Umani Alieni,2,2,1.5933085305042167,10.98
K.N.A. (Kaleidoscope Neutronic Accelerator),K.N.A. (Kaleidoscope Neutronic Accelerator),2,2,1.574846467664481,10.94
Seagull,Seagull,2,2,1.5623463049002495,10.91
Moon In June,Moon In June,1,1,2.9507349076232554,10.88
Gli Uccelli - Live 1988 / Remastered 2020,Gli Uccelli,2,2,1.551808799597464,10.88
The Loop,The Loop,2,2,1.5496879080283263,10.87
Paninaro,Paninaro,2,2,1.5432981099295553,10.86
The Night Watch,The Night Watch,2,2,1.545432582458188,10.86
The Hurlyburly,The Hurlyburly,2,2,1.534714366238164,10.84
"Close to the Edge: i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man - 2025 Remaster","Close to the Edge: i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man",1,1,2.929592471049446,10.82
Empty Pages - Remastered 2010,Empty Pages,2,2,1.5216989981260935,10.8
The Lamb,The Lamb,2,2,1.5216989981260935,10.8
Ara Buza (Dame Un Beso) - Remasterizado,Ara Buza (Dame Un Beso),2,2,1.5195132049061133,10.8
Indiscipline,Indiscipline,2,2,1.5151272329628591,10.79
Cyber Alpha,Cyber Alpha,2,2,1.4973884086254774,10.74
Owner of a Lonely Heart,Owner of a Lonely Heart,2,2,1.4951487660319729,10.74
Il Ballo Del Potere,Il Ballo Del Potere,2,2,1.4861396960896067,10.72
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,Everybody's Got Something To Hide Except Me And My Monkey,3,2,0.8796267475025636,10.7
AtmoSpace - Italian version,AtmoSpace,2,2,1.4816045409242156,10.7
Mesopotamia - Live 1988 / Remastered 2020,Mesopotamia,2,2,1.4770487243883548,10.69
L'Oceano Di Silenzio - 2008 Remaster,L'Oceano Di Silenzio,2,2,1.4678743481123135,10.67
El Bizco De Los Patios - Remasterizado,El Bizco De Los Patios,2,2,1.4678743481123135,10.67
Chan-Son Egocentrique - Remastered,Chan-Son Egocentrique,2,2,1.4422019930581866,10.61
The Howler,The Howler,2,2,1.4350845252893227,10.59
Ricochet (Part One) - Live From Europe/1975 / 1995 Digital Remaster,Ricochet (Part One),1,1,2.830857630363757,10.58
Radio Varsavia - Remastered 2022,Radio Varsavia,2,2,1.42791603581071,10.57
Aguas del Guadalquivir,Aguas del Guadalquivir,2,2,1.425515074273172,10.56
Films,Films,2,2,1.425515074273172,10.56
"Lemmings - Live From L'Altro Mondo, Rimini, Italy/1975",Lemmings,1,1,2.815408719422709,10.54
Ombre Amiche - Italian version,Ombre Amiche,2,2,1.415853163361435,10.54
Focus II,Focus II,2,2,1.4011829736136412,10.5
Engineers,Engineers,2,2,1.3912819026309295,10.48
The Raven,The Raven,2,2,1.3787660946990992,10.45
Turn Your Back on Me - Thompson & Barbiero US Mix,Turn Your Back on Me,2,2,1.3737155789130306,10.43
Así Soy Yo,Así Soy Yo,2,2,1.3711807233098423,10.43
E Ti Vengo A Cercare - Live 1988 / Remastered 2020,E Ti Vengo A Cercare,2,2,1.3737155789130306,10.43
Don't Kill the Whale,Don't Kill the Whale,2,2,1.3686394258811698,10.42
Enjoy the Silence - Timo Maas Extended Remix,Enjoy the Silence,2,1,2.166765369851511,10.42
