track,short,plays,track_unique_days,log_dur_min,track_score
Run Through the Light,Run Through the Light,1,1,1.5496879080283263,7.37
Recuerdos de una noche,Recuerdos de una noche,1,1,1.5496879080283263,7.37
Nel Cielo E Nelle Altre Cose Mute (Do Largo) - Remastered 2022,Nel Cielo E Nelle Altre Cose Mute (Do Largo),1,1,1.5432981099295553,7.36
Sono Un Dio,Sono Un Dio,1,1,1.5390154481375546,7.35
The Habit Of The Broken Heart - 2005 Digital Remaster,The Habit Of The Broken Heart,1,1,1.5390154481375546,7.35
VROOOM,VROOOM,1,1,1.5325568680981427,7.33
Walking On Air,Walking On Air,1,1,1.5325568680981427,7.33
Cadence and Cascade,Cadence and Cascade,1,1,1.5325568680981427,7.33
Buone notizie,Buone notizie,1,1,1.5282278570085572,7.32
Fino Alla Mia Porta,Fino Alla Mia Porta,1,1,1.5282278570085572,7.32
We Love You,We Love You,1,1,1.5260563034950492,7.32
W - New Stereo Mix 2021,W,1,1,1.5260563034950492,7.32
I Am The Walrus - Remastered 2009,I Am The Walrus,1,1,1.5260563034950492,7.32
Only When I Lose Myself - Single Version,Only When I Lose Myself,1,1,1.5195132049061133,7.3
Take Another View,Take Another View,1,1,1.5195132049061133,7.3
Houses in Motion - 2005 Remaster,Houses in Motion,1,1,1.5151272329628591,7.29
Fisiognomica - 2008 Remaster,Fisiognomica,1,1,1.5129270120532563,7.28
L'elefante bianco,L'elefante bianco,1,1,1.5129270120532563,7.28
Boys Better,Boys Better,1,1,1.5107219394949427,7.28
Lotus,Lotus,1,1,1.5107219394949427,7.28
Diálogo,Diálogo,1,1,1.5085119938441398,7.27
Gimme Shelter,Gimme Shelter,1,1,1.506297153514587,7.27
Halo,Halo,1,1,1.5040773967762742,7.26
"Love, In Itself","Love, In Itself",1,1,1.4996230464268938,7.25
W - 2000 Digital Remaster,W,1,1,1.4973884086254774,7.24
W - Remastered 2021,W,1,1,1.4951487660319729,7.24
Un amore maledetto,Un amore maledetto,1,1,1.4951487660319729,7.24
Don't Take No For An Answer - Demo,Don't Take No For An Answer,1,1,1.4929040961781488,7.23
Ecstacy - 2015 Remaster,Ecstacy,1,1,1.4883995840570443,7.22
Nomadi - Remastered,Nomadi,1,1,1.4883995840570443,7.22
Transumanza - Italian version,Transumanza,2,2,0.0861776962410524,7.22
The Voice,The Voice,1,1,1.483874689458755,7.21
Loving Cup,Loving Cup,1,1,1.4816045409242156,7.2
To The Moment - Single Mix,To The Moment,1,1,1.47932922708708,7.2
Tu frialdad,Tu frialdad,1,1,1.47932922708708,7.2
Freelove - DJ Muggs Remix,Freelove,1,1,1.47932922708708,7.2
"Wait - From ""To Live And Die In L.A."" Soundtrack",Wait,1,1,1.4770487243883548,7.19
Up Patriots To Arms,Up Patriots To Arms,1,1,1.4747630091074988,7.19
When The Whip Comes Down - Remastered,When The Whip Comes Down,1,1,1.4701758451005926,7.18
Shock In My Town - Live In Roma 2016,Shock In My Town,1,1,1.4678743481123135,7.17
Love Comes Quickly - 2018 Remaster,Love Comes Quickly,1,1,1.463255402256019,7.16
Rocket Boy,Rocket Boy,1,1,1.4655675420143983,7.16
Bist Du Bei Mir,Bist Du Bei Mir,1,1,1.4655675420143983,7.16
La volpe,La volpe,1,1,1.463255402256019,7.16
Frayo,Frayo,1,1,1.4609379041156565,7.15
I'd Like To Help You With Your Problem,I'd Like To Help You With Your Problem,1,1,1.4586150226995167,7.15
Styggo,Styggo,1,1,1.4609379041156565,7.15
The Poet,The Poet,1,1,1.4562867329399256,7.14
Torn And Frayed,Torn And Frayed,1,1,1.4562867329399256,7.14
Such a Shame,Such a Shame,1,1,1.4562867329399256,7.14
Shine A Light,Shine A Light,1,1,1.4539530095937054,7.13
From the Beginning,From the Beginning,1,1,1.451613827240533,7.13
L'Era Del Cinghiale Bianco - 2008 Remaster,L'Era Del Cinghiale Bianco,1,1,1.4539530095937054,7.13
Notte kamikaze,Notte kamikaze,1,1,1.449269160281279,7.12
Rats - Remastered,Rats,1,1,1.4469189829363254,7.12
Cuccurucucù - Remastered 2021,Cuccurucucù,1,1,1.4445632692438664,7.11
Hide Your Love - Remastered,Hide Your Love,1,1,1.4350845252893227,7.09
True Faith - 2015 Remaster,True Faith,1,1,1.4350845252893227,7.09
B'Boom,B'Boom,1,1,1.43746264769429,7.09
Dove arriva quel cespuglio,Dove arriva quel cespuglio,1,1,1.4350845252893227,7.09
Cities,Cities,1,1,1.42791603581071,7.07
I Know What I Like (In Your Wardrobe) - 2007 Stereo Mix,I Know What I Like (In Your Wardrobe),1,1,1.42791603581071,7.07
Tears,Tears,1,1,1.4182774069729414,7.05
Peaches,Peaches,1,1,1.415853163361435,7.04
Dreaming Of The Same Thing,Dreaming Of The Same Thing,1,1,1.4134230285081433,7.03
Gli Uccelli - Mix 2015,Gli Uccelli,1,1,1.4085449700547104,7.02
Tohogd,Tohogd,1,1,1.4060969884160703,7.02
Il Potere Del Canto,Il Potere Del Canto,1,1,1.4036429994545037,7.01
"Turn Your Back on Me - 7"" Version",Turn Your Back on Me,1,1,1.396244691973059,6.99
The Wind,The Wind,1,1,1.3912819026309295,6.98
Slippery People - Live,Slippery People,1,1,1.3912819026309295,6.98
The Great Deceiver,The Great Deceiver,1,1,1.3937663759585917,6.98
Tao - 2008 Remaster,Tao,1,1,1.3937663759585917,6.98
The Eternal Olive Tree,The Eternal Olive Tree,1,1,1.3862943611198906,6.97
Resaca del Amanecer,Resaca del Amanecer,1,1,1.3887912413184778,6.97
Luminosa mañana,Luminosa mañana,1,1,1.3887912413184778,6.97
Delenda Carthago - 2008 Remaster,Delenda Carthago,1,1,1.3812818192963463,6.95
THRAK,THRAK,1,1,1.3812818192963463,6.95
Space Cadet,Space Cadet,1,1,1.3787660946990992,6.95
Three Blind Mice,Three Blind Mice,2,2,-0.0202027073175194,6.95
Euphoria,Euphoria,1,1,1.3762440252663892,6.94
Turn Your Back On Me - Thompson & Barbiero US Mix,Turn Your Back On Me,1,1,1.3737155789130306,6.93
Sit Down & Shut Up,Sit Down & Shut Up,1,1,1.366091653802371,6.92
The Boat Of Millions Of Years - Remastered 2005,The Boat Of Millions Of Years,1,1,1.3635373739972745,6.91
La quiete dopo un addio,La quiete dopo un addio,1,1,1.3609765531356006,6.9
Interference Patterns,Interference Patterns,1,1,1.355835153635182,6.89
Rhythm-A-Ning,Rhythm-A-Ning,1,1,1.355835153635182,6.89
Paradise,Paradise,1,1,1.355835153635182,6.89
Paradise - 2024 Digital Master,Paradise,1,1,1.3506671834767394,6.88
The American,The American,1,1,1.3506671834767394,6.88
Nine Cats,Nine Cats,1,1,1.3506671834767394,6.88
E Ti Vengo A Cercare - Remastered 2008,E Ti Vengo A Cercare,1,1,1.3532545070416904,6.88
Weirdo,Weirdo,1,1,1.3532545070416904,6.88
Sabor A Mi,Sabor A Mi,1,1,1.3480731482996928,6.87
Brown Sugar,Brown Sugar,1,1,1.3402504226184837,6.85
Be Alright,Be Alright,1,1,1.3402504226184837,6.85
Sui Giardini Della Preesistenza - 2008 Remaster,Sui Giardini Della Preesistenza,1,1,1.3376291891386096,6.84
Teacher - Single Mix; 2001 Remaster,Teacher,1,1,1.332366019094335,6.83
"Volver, Volver - Live, 1987","Volver, Volver",1,1,1.3297240096314962,6.82
As It Is When It Was - 2024 Digital Master,As It Is When It Was,1,1,1.3270750014599193,6.82
Cuando Era Joven,Cuando Era Joven,1,1,1.3190856114264409,6.8
Love Is a Stranger - 2005 Remaster,Love Is a Stranger,1,1,1.3217558399823195,6.8
New Life,New Life,1,1,1.3190856114264409,6.8
The Legend of the Outlaw Truckers Aka the Ballad of Sheriff Shorty,The Legend of the Outlaw Truckers Aka the Ballad of Sheriff Shorty,1,1,1.316408233655724,6.79
Sarcofagia,Sarcofagia,1,1,1.3110318766193438,6.78
What Ever You Want,What Ever You Want,1,1,1.3137236682850553,6.78
Claudine,Claudine,1,1,1.308332819650179,6.77
Everyone Is Totally Insane,Everyone Is Totally Insane,1,1,1.3056264580524355,6.76
Good Life,Good Life,1,1,1.3056264580524355,6.76
You Are Killing Me,You Are Killing Me,1,1,1.3056264580524355,6.76
Stage Door,Stage Door,1,1,1.297463147413275,6.74
Bungle in the Jungle,Bungle in the Jungle,1,1,1.2864740258376797,6.72
Bitch - 2009 Mix,Bitch,1,1,1.2864740258376797,6.72
Never Let Go - Single Version / Remastered 2023,Never Let Go,1,1,1.2837077723447896,6.71
Highly Strung,Highly Strung,1,1,1.2809338454620642,6.7
Frutto Acerbo - Remastered 2023,Frutto Acerbo,1,1,1.2781522025001877,6.7
Testamento,Testamento,1,1,1.2781522025001877,6.7
Un Irresistibile Richiamo,Un Irresistibile Richiamo,1,1,1.2781522025001877,6.7
Domo Dozo,Domo Dozo,1,1,1.2809338454620642,6.7
Personalità Empirica,Personalità Empirica,1,1,1.2725655957915476,6.68
Campi di Fragole,Campi di Fragole,1,1,1.2725655957915476,6.68
These Foolish Things (Remind Me Of You),These Foolish Things (Remind Me Of You),1,1,1.2725655957915476,6.68
Luna Indiana - 2008 Remaster,Luna Indiana,1,1,1.2725655957915476,6.68
Rocky Raccoon - Remastered 2009,Rocky Raccoon,1,1,1.2669476034873244,6.67
Westin Too Sy (feat. Smith),Westin Too Sy (feat. Smith),1,1,1.269760544863939,6.67
Zone Depresse - 2008 Remaster,Zone Depresse,1,1,1.2669476034873244,6.67
Live With Me,Live With Me,1,1,1.2669476034873244,6.67
Rain,Rain,1,1,1.2669476034873244,6.67
Risveglio Di Primavera - 2008 Remaster,Risveglio Di Primavera,1,1,1.264126727145683,6.66
"Let's Say Goodnight - Live at the Hollywood Palladium, 1987",Let's Say Goodnight,1,1,1.2556160374777745,6.64
Everything Happens To Me (Take 3),Everything Happens To Me (Take 3),1,1,1.252762968495368,6.63
Lontananze D'Azzurro,Lontananze D'Azzurro,1,1,1.247032293786383,6.62
Bird on the Wire,Bird on the Wire,1,1,1.247032293786383,6.62
Hot Potatoes,Hot Potatoes,1,1,1.247032293786383,6.62
Ed ora io domando tempo al tempo ed egli mi risponde...non ne ho!,Ed ora io domando tempo al tempo ed egli mi risponde...non ne ho!,1,1,1.249901736214336,6.62
Veni L'Autunnu - 2008 Remaster,Veni L'Autunnu,1,1,1.2412685890696329,6.6
Personal Jesus - Acoustic,Personal Jesus,1,1,1.2383742310432684,6.6
Doo Doo Doo Doo Doo (Heartbreaker),Doo Doo Doo Doo Doo (Heartbreaker),1,1,1.235471471385307,6.59
Please Be With Me,Please Be With Me,1,1,1.235471471385307,6.59
Cogli la prima mela,Cogli la prima mela,1,1,1.229640551074514,6.57
Sister Golden Hair,Sister Golden Hair,1,1,1.2267122912954254,6.57
Turtles Have Short Legs,Turtles Have Short Legs,1,1,1.229640551074514,6.57
Ni Chicha Ni Limoná,Ni Chicha Ni Limoná,1,1,1.2267122912954254,6.57
Reptile,Reptile,1,1,1.229640551074514,6.57
Hang on Now,Hang on Now,1,1,1.220829921392359,6.55
"Oh Well, Pt. 1 - 2013 Remaster","Oh Well, Pt. 1",1,1,1.2149127443642704,6.54
Paperlate,Paperlate,1,1,1.2149127443642704,6.54
Two Hands,Two Hands,1,1,1.2178757094949273,6.54
"Paint It, Black","Paint It, Black",1,1,1.2149127443642704,6.54
Scherzo in minore,Scherzo in minore,1,1,1.2119409739751128,6.53
Change Is Now - Single Version,Change Is Now,1,1,1.208960345836975,6.52
E Mi Viene Da Pensare,E Mi Viene Da Pensare,1,1,1.205970806988609,6.51
San Franciscan Nights,San Franciscan Nights,1,1,1.199964782928397,6.5
Silver Eagle - Live,Silver Eagle,1,1,1.199964782928397,6.5
Sugar Magnolia - 2013 Remaster,Sugar Magnolia,1,1,1.199964782928397,6.5
The Summer Of Hate,The Summer Of Hate,1,1,1.1939224684724346,6.48
I Giorni Della Monotonia,I Giorni Della Monotonia,1,1,1.1878434223960523,6.47
Secondo Imbrunire - 2008 Remaster,Secondo Imbrunire,1,1,1.1878434223960523,6.47
Crazy,Crazy,1,1,1.175573329804238,6.44
Light Flight,Light Flight,1,1,1.175573329804238,6.44
Waterloo Sunset,Waterloo Sunset,1,1,1.175573329804238,6.44
Theme One - Original Mix,Theme One,1,1,1.175573329804238,6.44
No Time No Space,No Time No Space,1,1,1.172482137234565,6.43
Vision - Sounds Of The 70s Session / 1971,Vision,1,1,1.172482137234565,6.43
Vegetable,Vegetable,1,1,1.1662709371419244,6.42
Not If You Were The Last Junkie On Earth,Not If You Were The Last Junkie On Earth,1,1,1.1631508098056809,6.41
Hard Monkeys - 2004 Remaster,Hard Monkeys,1,1,1.1600209167967532,6.4
Dog's Life,Dog's Life,1,1,1.1600209167967532,6.4
Red Frame / White Light - Remastered 2019,Red Frame / White Light,1,1,1.1568811967920856,6.39
Albatross,Albatross,1,1,1.1537315878891892,6.38
Child Of The Moon,Child Of The Moon,1,1,1.1505720275988207,6.38
Janis - Remastered,Janis,1,1,1.1474024528375415,6.37
Now You'll Love Me,Now You'll Love Me,1,1,1.1474024528375415,6.37
New Country,New Country,1,1,1.144222799920162,6.36
High And Dry,High And Dry,1,1,1.1410330045520618,6.35
The Under Assistant West Coast Promotion Man - Edit / Mono,The Under Assistant West Coast Promotion Man,1,1,1.1410330045520618,6.35
"Me, I Disconnect from You - Live","Me, I Disconnect from You",1,1,1.1346227261911428,6.34
Il Banchetto - Live In Japan 2002,Il Banchetto,1,1,1.1378330018213911,6.34
Seduto sotto un platano,Seduto sotto un platano,1,1,1.1378330018213911,6.34
Rose Fragrance,Rose Fragrance,1,1,1.1249295969854831,6.31
Era D'Estate - Remastered 2019,Era D'Estate,1,1,1.1216775615991057,6.3
Oceans,Oceans,1,1,1.118414915964289,6.3
Off Minor - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,Off Minor,1,1,1.1151415906193205,6.29
Mondi paralleli - Live in Lugano,Mondi paralleli,1,1,1.1118575154181305,6.28
Suburban Eyes - Rudy Van Gelder 24-Bit Mastering / 2001 Digital Remaster,Suburban Eyes,1,1,1.1118575154181305,6.28
Animal Farm - 2018 Stereo Remaster,Animal Farm,1,1,1.1085626195212777,6.27
Penny Lane,Penny Lane,1,1,1.1085626195212777,6.27
Ornithology,Ornithology,1,1,1.1085626195212777,6.27
Theme 1,Theme 1,1,1,1.1052568313867783,6.26
Sweet And Lovely (Take 2),Sweet And Lovely (Take 2),1,1,1.1019400787607845,6.25
Objects Outlive Us: Cosmic Sons of Toil,Objects Outlive Us: Cosmic Sons of Toil,1,1,1.0986122886681098,6.25
Sketch for Summer,Sketch for Summer,1,1,1.0885619528146082,6.22
Love → Building on Fire - 2004 Remaster,Love → Building on Fire,1,1,1.0885619528146082,6.22
Theme One - Remastered 2021,Theme One,1,1,1.0784095813505905,6.2
Cotton Fields,Cotton Fields,1,1,1.0818051703517284,6.2
Book Of Saturday,Book Of Saturday,1,1,1.075002423028976,6.19
Il Vecchio E La Farfalla,Il Vecchio E La Farfalla,1,1,1.0715836162801904,6.18
Monkey Gone to Heaven,Monkey Gone to Heaven,1,1,1.0715836162801904,6.18
Savoy Truffle - Remastered 2009,Savoy Truffle,1,1,1.0681530811834012,6.17
Canción Al Árbol Del Olvido,Canción Al Árbol Del Olvido,1,1,1.0543120297715298,6.14
You Got The Silver - Remastered 2019,You Got The Silver,1,1,1.0473189942805592,6.12
Citadel - Remastered 2017 / Stereo,Citadel,1,1,1.0473189942805592,6.12
You Got The Silver,You Got The Silver,1,1,1.043804052173115,6.11
Clockout,Clockout,1,1,1.0260415958332745,6.07
The Bird - Remastered,The Bird,1,1,1.0152306797290584,6.04
Dragonfly,Dragonfly,1,1,1.0152306797290584,6.04
Wiggly World,Wiggly World,1,1,1.01160091167848,6.03
Here We Go Round The Mulberry Bush - Stereo Version,Here We Go Round The Mulberry Bush,1,1,0.9932517730102834,5.98
La Feria De La Flores,La Feria De La Flores,1,1,0.9858167945227654,5.96
Coda Marine 475,Coda Marine 475,1,1,0.9858167945227654,5.96
Paper - 2005 Remaster,Paper,1,1,0.9707789171582248,5.93
Empty Heart,Empty Heart,1,1,0.9631743177730056,5.91
Birds,Birds,1,1,0.9400072584914712,5.85
Montreux's Theme - 2003 Remaster,Montreux's Theme,1,1,0.9400072584914712,5.85
Asylum,Asylum,1,1,0.9282193027394288,5.82
Amazing Grace - 2003 Remaster,Amazing Grace,1,1,0.9282193027394288,5.82
Elanoizan,Elanoizan,1,1,0.924258901523332,5.81
"The Farmer's Daughter - Live 1980, Santa Monica, CA",The Farmer's Daughter,1,1,0.904218150639886,5.76
"Amore Che Vieni, Amore Che Val","Amore Che Vieni, Amore Che Val",1,1,0.9001613499442714,5.75
Prologo,Prologo,1,1,0.8919980393051105,5.73
Exit,Exit,1,1,0.8919980393051105,5.73
Notturno Breve,Notturno Breve,1,1,0.883767540168595,5.71
Allegro,Allegro,1,1,0.8754687373538999,5.69
Total Mass Retain - Remix,Total Mass Retain,1,1,0.8754687373538999,5.69
The Singer Not The Song - Mono Version,The Singer Not The Song,1,1,0.8628899551470398,5.66
Route 66,Route 66,1,1,0.85015092936961,5.63
El Cuchipe,El Cuchipe,1,1,0.8458682675776092,5.61
Surfin' Bird,Surfin' Bird,1,1,0.8285518175661483,5.57
The Duke Of Prunes,The Duke Of Prunes,1,1,0.7975071958841882,5.49
The Golden Road - 2013 Remaster,The Golden Road,1,1,0.7929925155296614,5.48
Updraft - Demo,Updraft,1,1,0.7793248768009977,5.45
Vegetables - Remastered 2001,Vegetables,1,1,0.7701082216960737,5.43
Connection,Connection,1,1,0.7561219797213337,5.39
Norwegian Wood (This Bird Has Flown) - Remastered 2009,Norwegian Wood (This Bird Has Flown),1,1,0.7323678937132266,5.33
Todo es de color,Todo es de color,1,1,0.7275486072772777,5.32
Traccia,Traccia,1,1,0.7275486072772777,5.32
Piggies - Remastered 2009,Piggies,1,1,0.7275486072772777,5.32
Rosemary - 2013 Remaster,Rosemary,1,1,0.6931471805599453,5.23
Peace - An End,Peace,1,1,0.6626879730752367,5.16
KD,KD,1,1,0.6523251860396901,5.13
The Dandy Warhols Love Almost Everyone,The Dandy Warhols Love Almost Everyone,1,1,0.6418538861723947,5.1
Birds In My Tree,Birds In My Tree,1,1,0.6418538861723947,5.1
An Oscar For Treadwell - Incomplete 411-1,An Oscar For Treadwell,1,1,0.636576829071551,5.09
Pea,Pea,1,1,0.5822156198526637,4.96
Inner Garden I,Inner Garden I,1,1,0.5822156198526637,4.96
November,November,1,1,0.5423242908253617,4.86
Ponker's Theme,Ponker's Theme,1,1,0.3852624007906449,4.46
Ponker's Theme - Remastered 2021,Ponker's Theme,1,1,0.371563556432483,4.43
Man in a White Car - LP/Single Version,Man in a White Car,1,1,0.3001045924503381,4.25
Inner Garden II,Inner Garden II,1,1,0.2390169004704999,4.1
Devo Corporate Anthem,Devo Corporate Anthem,1,1,0.2390169004704999,4.1
Peace - A Theme,Peace,1,1,0.2231435513142097,4.06
"Introduction - Live In Juan-les-Pins, France/1965",Introduction,1,1,0.2070141693843261,4.02
Timing X,Timing X,1,1,0.1739533071234379,3.93
Vier ½,Vier ½,1,1,0.0198026272961797,3.55
The Battle Of The Locusts,The Battle Of The Locusts,1,1,-0.0725706928348353,3.32
Peace - A Beginning,Peace,1,1,-0.1863295781914934,3.03
Intro,Intro,1,1,-0.579818495252942,2.05
