track_id,album_id,artist_id,track,artist,album_name,played_at,album_date,album_pic,duration_ms,genres
73RVbX3YhvDYTSyrzKguSi,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Parallels - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-01T21:58:27,1977,https://i.scdn.co/image/ab67616d00001e02fff6321a79c0ba5e4e7f5125,353906,Progressive Rock/Art Rock/Aor
2cTfzU2iNMI9aZSPOL3mYx,6ELt0QaMOwPGPzfdEXE839,7M1FPw29m5FbicYzS2xdpi,Larks' Tongues In Aspic (Part I),King Crimson,Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),2026-05-01T21:50:30,1973-03-23,https://i.scdn.co/image/ab67616d00001e02aa9e5286056e17ff3d9b2881,815675,Progressive Rock/Art Rock/Psychedelic Rock
43IYZ1zQpbXXWhGQEgjAjb,7isYifHXAT7wbuxbJziBG3,2LIdnZDzySb04oH40be1fR,Who Knows Where The Time Goes?,Fairport Convention,Unhalfbricking,2026-05-01T21:32:42,1969-07,https://i.scdn.co/image/ab67616d00001e0272fe792040dbdcd31869763d,310173,Folk Rock/Folk/Traditional Folk
5qmlexKxaI31MvFhObUCZm,68W3ppXWhsOLOURmxzRkyA,7M1FPw29m5FbicYzS2xdpi,The Devils Triangle,King Crimson,In The Wake Of Poseidon,2026-05-01T21:27:27,1970-05-15,https://i.scdn.co/image/ab67616d00001e02df0ca9c1749f68f803f9f42b,697023,Progressive Rock/Art Rock/Psychedelic Rock
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-01T21:12:15,2014-04-25,https://i.scdn.co/image/ab67616d00001e024a068365405d564e386b556d,687373,Progressive Rock/Art Rock
4UhB17vQsTP0qM9grc4ZUi,6wDCNTOXnKI8E4WrsdeJH9,1CD77o9fbdyQFrHnUPUEsF,Empty Pages - Remastered 2010,Traffic,John Barleycorn Must Die Deluxe Edition,2026-05-01T21:09:30,1970-07-01,https://i.scdn.co/image/ab67616d00001e0242e2ef73391504cb40c95fd6,274680,Psychedelic Rock/Acid Rock/Classic Rock/Progressive Rock
4SoykGLnLQPgQUkrKQxNYq,5UI2X5VAmgu9xrlXDd5U7B,1PCZpxHJz7WAMF8EEq8bfc,Change Is Now - Single Version,The Byrds,The Notorious Byrd Brothers,2026-05-01T21:05:01,1968-01-15,https://i.scdn.co/image/ab67616d00001e023031db0d7e0e45cd40b0e07c,201266,Folk Rock/Country Rock/Psychedelic Rock/Acid Rock
1rw12PalmC8IDoygHT3fm1,1VHLlFuKZYLVhnLanVzJxF,0nCiidE5GgDrc5kWN3NZgZ,From the Beginning,"Emerson, Lake & Palmer",Trilogy,2026-05-01T20:55:01,1972-07-06,https://i.scdn.co/image/ab67616d00001e020134e07cf27d2cb5a1eaddcc,256333,Progressive Rock/Art Rock
4ZCK0R2BRtXxHH8Fb1vq2n,2WO6VIu5x3rMXWcMzH36jl,3Uz6jx81OY2J5K8Z4wmy2P,Never Let Go - Single Version / Remastered 2023,Camel,Camel (Expanded Edition),2026-05-01T20:48:30,2023-11-24,https://i.scdn.co/image/ab67616d00001e02572a2c8c8092c82b9dfd48fc,216733,Progressive Rock/Art Rock/Space Rock/Psychedelic Rock/Krautrock
4NAP1NmknfmMkKuDi4fhxI,1uXol4dKqzMsUiqvHpwhZh,7AC976RDJzL2asmZuz7qil,Siberian Khatru - 2025 Remaster,Yes,Close to the Edge (Super Deluxe Edition),2026-05-01T19:13:32,1972-09-08,https://i.scdn.co/image/ab67616d00001e02593f4d2b1bcf28ac44459ddf,537373,Progressive Rock/Art Rock/Aor
0RymZK3n4wILiqOfQzzMsS,2fwr3utdlIdPX9cMjZ1QYW,1MD5pgVzlusqGyuSTcTxvu,Impressioni di Settembre,Premiata Forneria Marconi,Celebration 1972-2012,2026-05-01T18:41:46,1972,https://i.scdn.co/image/ab67616d00001e027da5a444d7adee38a8623540,344400,Progressive Rock/Italian Singer-songwriter/Art Rock
2ln1kC2KAxzr8d6pRkxWbq,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,I Get Up I Get Down - Remix,Yes,The Steven Wilson Remixes,2026-05-01T18:36:16,2018-06-29,https://i.scdn.co/image/ab67616d00001e02f9a30c6be96b3f351c2f6176,344925,Progressive Rock/Art Rock/Aor
092Do4luuSxuhhdCAlH0vo,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,Total Mass Retain - Remix,Yes,The Steven Wilson Remixes,2026-05-01T17:54:38,2018-06-29,https://i.scdn.co/image/ab67616d00001e02f9a30c6be96b3f351c2f6176,144171,Progressive Rock/Art Rock/Aor
5z0a7b6MXxCa2TAFrfCKNW,093JGCJ5YMNGFnmsvR9WHt,7AC976RDJzL2asmZuz7qil,The Solid Time of Change - Remix,Yes,The Steven Wilson Remixes,2026-05-01T17:52:09,2018-06-29,https://i.scdn.co/image/ab67616d00001e02f9a30c6be96b3f351c2f6176,364302,Progressive Rock/Art Rock/Aor
6mAQOxxt839lfifqME35Pe,1dbVSQR5jcw5rdngMyA3d8,7M1FPw29m5FbicYzS2xdpi,Discipline,King Crimson,The Condensed 21st Century Guide To King Crimson (1969 - 2003),2026-05-01T17:33:52,2006-10-16,https://i.scdn.co/image/ab67616d00001e02e0d2d12a833288b2ecc09c9d,302613,Progressive Rock/Art Rock/Psychedelic Rock
0pVx93u0NdATyRJcqkKaqP,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Il Ballo Del Potere,Franco Battiato,Gommalacca,2026-05-01T11:37:25,1998-01-01,https://i.scdn.co/image/ab67616d00001e020ecf26d1fd4acb6c448e1245,265413,Italian Singer-songwriter/Singer-songwriter
50eMzYSsS35VhHAerXt2Wu,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Il Banchetto - Live In Japan 2002,Premiata Forneria Marconi,Live In Japan 2002,2026-05-01T10:37:02,2002-05-21,https://i.scdn.co/image/ab67616d00001e0216660bdee4d8da89c5f6a2c3,187053,Progressive Rock/Italian Singer-songwriter/Art Rock
6rbLGESJIt0IdCWcrXtrFK,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,L'Evoluzione,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-01T10:37:02,1972,https://i.scdn.co/image/ab67616d00001e02e444bb93262f5b95d3cc6db3,1006400,Progressive Rock/Italian Singer-songwriter/Art Rock
2rWEbA4iZyJ0jMthYmKkSs,1WeTsUeoyJBDYiqdoCtO8I,4RuYtHjAKBufQRqBUMiOfK,Fino Alla Mia Porta,Banco Del Mutuo Soccorso,Come in un'ultima cena,2026-05-01T10:37:02,1976-01-01,https://i.scdn.co/image/ab67616d00001e020fa7763169739d982072c3fb,276333,Progressive Rock/Italian Singer-songwriter/Art Rock
176RyR4Ac2kU0bEI4uycWs,0V7yj1nGYDsBjlMrsI5w5C,4RuYtHjAKBufQRqBUMiOfK,Traccia II,Banco Del Mutuo Soccorso,Io Sono Nato Libero,2026-05-01T10:37:02,1973-05-31,https://i.scdn.co/image/ab67616d00001e027ece70db55914c784d3080e0,159226,Progressive Rock/Italian Singer-songwriter/Art Rock
3UidBOm9Cl9N7tfLAtHHpo,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,La Conquista Della Posizione Eretta,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-01T10:37:02,1972,https://i.scdn.co/image/ab67616d00001e02e444bb93262f5b95d3cc6db3,599293,Progressive Rock/Italian Singer-songwriter/Art Rock
5TjLHZ8tPECmCgR2LvlFWd,6JHd5ZgLC06c0Id5e2Vbz3,1MD5pgVzlusqGyuSTcTxvu,La grande Pasqua russa,Premiata Forneria Marconi,PFM in Classic - Da Mozart a Celebration,2026-05-01T10:37:02,2013-09-10,https://i.scdn.co/image/ab67616d00001e025b0edb70c9278b724ce1e79b,437943,Progressive Rock/Italian Singer-songwriter/Art Rock
6wNZa5e5DVBwMbqB4uYuXp,0Ft1jEOyGY74ZgHb1FYO4U,4RuYtHjAKBufQRqBUMiOfK,750.000 anni fa... l'amore?,Banco Del Mutuo Soccorso,Darwin!,2026-05-01T10:37:02,1972-04-28,https://i.scdn.co/image/ab67616d00001e02dc889db5dba45e86f1fbfc6c,338093,Progressive Rock/Italian Singer-songwriter/Art Rock
7l2Gh3fSaknNtzOxFuadeC,3gISC18IyM5W4fd3bVz9hk,1MD5pgVzlusqGyuSTcTxvu,Nuvole Nere,Premiata Forneria Marconi,Serendipity,2026-05-01T10:37:01,2000-09-15,https://i.scdn.co/image/ab67616d00001e025ae6367ad36cebcb63b771f3,247133,Progressive Rock/Italian Singer-songwriter/Art Rock
3yllEGh0om4VrFThDlFXXY,7cLNFRklt2EupipdILxJc7,7nQZVqkaUxa3A62UJSisSB,Il giro del cappio,La coscienza di Zeno,La notte anche di giorno,2026-05-01T10:37:01,2015-01-31,https://i.scdn.co/image/ab67616d00001e02712e0a8ec193b8071bb528e4,323053,Progressive Rock
2sG6kG8mEDaiv7AN0TJ310,0b33cACjsSPVBchGgsFGMu,4lianjyuR1tqf6oUX8kjrZ,Apparenza e realtà,Franco Battiato,Universi paralleli di Franco Battiato,2026-05-01T10:37:01,2018-09-28,https://i.scdn.co/image/ab67616d00001e021773a7b8623a39d8da4ed9e6,218880,Italian Singer-songwriter/Singer-songwriter
0dkkRsEy6Td8ocFG1ACLsT,0V7yj1nGYDsBjlMrsI5w5C,4RuYtHjAKBufQRqBUMiOfK,Non mi rompete,Banco Del Mutuo Soccorso,Io Sono Nato Libero,2026-05-01T07:03:36,1973-05-31,https://i.scdn.co/image/ab67616d00001e027ece70db55914c784d3080e0,307106,Progressive Rock/Italian Singer-songwriter/Art Rock
5sR0z233pgvP2D7w39qCZe,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Drive (Grundfunken),NEU!,NEU!,2026-05-02T19:28:28,2010-05-07,https://i.scdn.co/image/ab67616d00001e023ed258c50794a90b4ca6c092,313626,Krautrock/Proto-punk/Space Rock/Art Rock/Avant-garde
4RMMYBTQ35CCRNx4nlAANq,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Crazy,NEU!,NEU!,2026-05-02T19:23:01,2010-05-07,https://i.scdn.co/image/ab67616d00001e023ed258c50794a90b4ca6c092,194226,Krautrock/Proto-punk/Space Rock/Art Rock/Avant-garde
3776wlNwK1mLH4ycuBNuWn,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Dänzing,NEU!,NEU!,2026-05-02T19:19:37,2010-05-07,https://i.scdn.co/image/ab67616d00001e023ed258c50794a90b4ca6c092,305946,Krautrock/Proto-punk/Space Rock/Art Rock/Avant-garde
2BqHy0cZJnERHLaDpX2jdy,7m6StTtrbnkaC6FkDVNnTe,2CqEOngQOOMstJupNn6Hmf,Intro,NEU!,NEU!,2026-05-02T19:16:53,2010-05-07,https://i.scdn.co/image/ab67616d00001e023ed258c50794a90b4ca6c092,33826,Krautrock/Proto-punk/Space Rock/Art Rock/Avant-garde
6eUnY12Nd9TVWlbBnFQRCw,6wI2sLcBmYzYQd9LFfkbhy,2CqEOngQOOMstJupNn6Hmf,Hallogallo,NEU!,NEU!,2026-05-02T19:16:34,1972-03-01,https://i.scdn.co/image/ab67616d00001e02e218e5bb293414382e04d84c,607426,Krautrock/Proto-punk/Space Rock/Art Rock/Avant-garde
0Rumj64tAP1jhImDkzple6,3oUXNITVgUpdN2cUwH3hmS,0ifzzRKdmtgaHy9cfnnyCR,Focus II,Focus,Moving Waves,2026-05-02T19:06:35,1971,https://i.scdn.co/image/ab67616d00001e027d9ab0d82ab62be45e1b00fb,243666,Progressive Rock/Nederpop/Art Rock
3FNgaN6nlCk8o3viucsVIL,0BOPrAV0Lk52MXS2d52uOO,0ifzzRKdmtgaHy9cfnnyCR,Janis - Remastered,Focus,Moving Waves (2020 Remastered Edition),2026-05-02T19:02:04,1971-10-01,https://i.scdn.co/image/ab67616d00001e026587b5532a83358497efd9e8,188893,Progressive Rock/Nederpop/Art Rock
1d6WoMWzq2YTfGxUP94Rgy,6vUUBFECAo0oLUWfjqmXtZ,1MD5pgVzlusqGyuSTcTxvu,Bandiera Bianca,Premiata Forneria Marconi,Live In Japan 2002,2026-05-02T18:59:04,2002-05-21,https://i.scdn.co/image/ab67616d00001e0216660bdee4d8da89c5f6a2c3,241826,Progressive Rock/Italian Singer-songwriter/Art Rock
0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Sequenze E Frequenze - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-02T18:53:03,1989,https://i.scdn.co/image/ab67616d00001e02554a20c25a51b6d57c2d489d,425120,Italian Singer-songwriter/Singer-songwriter
5FvRkKujcquFV4wma9QAfj,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,Indiscipline,King Crimson,Discipline,2026-05-02T18:45:34,1981-09-22,https://i.scdn.co/image/ab67616d00001e02ff2d2448a42a43c281b6f556,273000,Progressive Rock/Art Rock/Psychedelic Rock
2gK9dAy6TgeOYvdlspWbdU,0HoF3Ir1IYbIkvrxXrLGOB,7AC976RDJzL2asmZuz7qil,Into the Lens,Yes,Drama (Deluxe Edition),2026-05-02T18:40:37,1980-08-22,https://i.scdn.co/image/ab67616d00001e023f24e7835055139eb7b3a4c8,512333,Progressive Rock/Art Rock/Aor
0TMKja08JBRFwkdpl9IpI3,1n6mujGDmusUYHfuFtZZvJ,02frazNrWgZCxUEf4UTfHt,Killer - Remastered 2021,Van Der Graaf Generator,"H To He, Who Am The Only One (Deluxe)",2026-05-02T18:13:59,1970-12-05,https://i.scdn.co/image/ab67616d00001e02fda0f0767cd77b621ad43902,498040,Progressive Rock/Art Rock/Krautrock/Space Rock
46dxvP1IF5TdcKG42GkDF4,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,The Night Watch,King Crimson,Starless And Bible Black,2026-05-02T18:05:28,1974-03-29,https://i.scdn.co/image/ab67616d00001e02ebb799f3ca90f59bd04f6a72,281611,Progressive Rock/Art Rock/Psychedelic Rock
1JrNAxiq1o57wxuI9aX6KJ,1meW8yyx76RPZebO32VwrB,6w6z8m4WXX7Tub4Rb6Lu7R,Teacher - Single Mix; 2001 Remaster,Jethro Tull,Benefit,2026-05-02T18:00:02,1970-08-20,https://i.scdn.co/image/ab67616d00001e0204e75e2458078ed9b5ab0230,227520,Progressive Rock/Classic Rock/Art Rock
0KvGvUJAPTHtiyCtEnfXCm,6KUBy7zjq9mkKRR7CJSGBM,7K2LDhsZ8A4LKlLPPpcKFS,Nymphenburger,East Of Eden,Snafu,2026-05-02T17:33:15,1970-07-09,https://i.scdn.co/image/ab67616d00001e02ac2a1fb3f7acb2da133df82e,375693,Progressive Rock/Krautrock/Acid Rock
5TQ2pztJIwLEPrzuSIsBmF,2zYEcirgirihBtUr9ninD6,1SQRv42e4PjEYfPhS0Tk9E,Animal Farm - 2018 Stereo Remaster,The Kinks,The Kinks Are the Village Green Preservation Society,2026-05-02T17:26:45,1968-01-01,https://i.scdn.co/image/ab67616d00001e02afa6b2613bf2504d57b52e06,181533,Proto-punk/Baroque Pop
4JvjCMPpXVldRhM0mxheub,6DMU0YvLjgcpHddObNP8A6,7AC976RDJzL2asmZuz7qil,Don't Kill the Whale,Yes,Tormato (Deluxe Edition),2026-05-02T17:23:45,1978,https://i.scdn.co/image/ab67616d00001e022d7837659398f964608225c0,235866,Progressive Rock/Art Rock/Aor
7oITpghqeYM0RfRK17efLY,7F6dgfm0QnJvDAXux6spJq,1MD5pgVzlusqGyuSTcTxvu,Cyber Alpha,Premiata Forneria Marconi,Stati Di Immaginazione,2026-05-02T17:19:45,2006-08-04,https://i.scdn.co/image/ab67616d00001e02477d123fdb82b6e66c170696,268146,Progressive Rock/Italian Singer-songwriter/Art Rock
5cpKDL7ArW8F2JtUk0wuQM,4YsXD5Zmj8wjmPzPzUEDZh,1iTlOqIrZy8DlvCPJY2sjS,The Vanilla Queen,Golden Earring,Moontan,2026-05-02T17:11:47,1973,https://i.scdn.co/image/ab67616d00001e0234b4d0f8dfbb35906eefba3f,556293,Nederpop/Classic Rock
2A3WfAbX9KHMQhewdpUiok,3OQX2EwYNN3FVKuUVLkVOL,5hlBb5u8K5D8yrL8jwZ7N9,Tu frialdad,Triana,Un Encuentro,2026-05-02T16:23:21,1980,https://i.scdn.co/image/ab67616d00001e02869cbbc54bc7d1fbc812040d,263506,Flamenco/Flamenco Pop/Progressive Rock
7HDv9WfmLNinEJx8iZIE1m,659kn6tY6zC9jy56kzIW51,1CD77o9fbdyQFrHnUPUEsF,Dream Gerrard,Traffic,When The Eagle Flies,2026-05-02T15:56:13,1974-09,https://i.scdn.co/image/ab67616d00001e0292b7f01922414619c70d1346,662173,Psychedelic Rock/Acid Rock/Classic Rock/Progressive Rock
6K3q2FCBIIKcoKkmT6M6NL,3tYOO1SUShFTDag2iNbzlu,0ifzzRKdmtgaHy9cfnnyCR,Eruption - Live,Focus,vol huis (Live),2026-05-02T15:45:13,2024-02-06,https://i.scdn.co/image/ab67616d00001e024672a515fd5453a79111fa94,556495,Progressive Rock/Nederpop/Art Rock
4CRWWNAnZVmzyghvlFIGQm,0BD0bKRAFt8Z5q2NqCTPsN,3Uz6jx81OY2J5K8Z4wmy2P,Rhayader Goes To Town - Remastered 2023,Camel,The Snow Goose (2023 Remastered & Expanded Edition),2026-05-02T15:35:13,2023-11-03,https://i.scdn.co/image/ab67616d00001e022f7050e16585dead6c7820c4,320133,Progressive Rock/Art Rock/Space Rock/Psychedelic Rock/Krautrock
7m6T2wUj2CWjKkMbv42ZEo,2bG4ZJ2X6pUwOqPgk7Mgrg,1SQRv42e4PjEYfPhS0Tk9E,Shangri-La (2019 Remaster),The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),2026-05-02T15:30:13,1969-10-10,https://i.scdn.co/image/ab67616d00001e0262f88cd2951c501d98a6944b,320527,Proto-punk/Baroque Pop
47sJPdCkjVfLJWBFhwJiuE,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,The Sheltering Sky,King Crimson,Discipline,2026-05-02T15:24:43,1981-09-22,https://i.scdn.co/image/ab67616d00001e02ff2d2448a42a43c281b6f556,502480,Progressive Rock/Art Rock/Psychedelic Rock
3RpQJrHPISBYkIYaoL4leS,4ttC4XUinZXn3GMIQNrjFZ,7M1FPw29m5FbicYzS2xdpi,Lament,King Crimson,Starless And Bible Black,2026-05-02T15:16:13,1974-03-29,https://i.scdn.co/image/ab67616d00001e02ebb799f3ca90f59bd04f6a72,245318,Progressive Rock/Art Rock/Psychedelic Rock
5LP10C87Y5YnToBtwsxojk,7bJytEOVzTT0TIYfL18hU9,5A0MH7JfEBEMySevsmauds,Moon In June,Soft Machine,Third,2026-05-02T15:12:13,1970-08-26,https://i.scdn.co/image/ab67616d00001e02c25d45a133ffc63dd4743b97,1147200,Progressive Rock/Jazz Fusion/Krautrock/Psychedelic Rock/Art Rock/Acid Rock/Space Rock
1650LUcd7pCPN6oLjUs3s7,2vqzKJO8HeMffaSHxg74ln,1BGN1IdyiSR0ZYrkoKNchl,Ricochet (Part One) - Live From Europe/1975 / 1995 Digital Remaster,Tangerine Dream,The Virgin Years: 1974-1978,2026-05-02T14:53:14,1978,https://i.scdn.co/image/ab67616d00001e025318da4141de4dc8b2c5e68b,1017720,Krautrock/Space Music/Space Rock/Progressive Rock/New Age/Ambient
0GRBFjza23Im7Xb16c9AaK,0GqpoHJREPp0iuXK3HzrHk,36QJpDe2go2KgaRleHCDTp,No Quarter - Remaster,Led Zeppelin,Houses of the Holy (Remaster),2026-05-02T13:24:26,1973-03-28,https://i.scdn.co/image/ab67616d00001e021aa47e71c4edfeaddb65cd54,422517,Classic Rock/Rock/Hard Rock/Rock And Roll
2sG6kG8mEDaiv7AN0TJ310,0b33cACjsSPVBchGgsFGMu,4lianjyuR1tqf6oUX8kjrZ,Apparenza e realtà,Franco Battiato,Universi paralleli di Franco Battiato,2026-05-02T12:40:23,2018-09-28,https://i.scdn.co/image/ab67616d00001e021773a7b8623a39d8da4ed9e6,218880,Italian Singer-songwriter/Singer-songwriter
702IsRAE5re0e7eBwf0LXl,1NeJ0QqKv002iYDiOCaUOA,1MD5pgVzlusqGyuSTcTxvu,Geranio,Premiata Forneria Marconi,Per Un Amico,2026-05-02T12:36:23,1972,https://i.scdn.co/image/ab67616d00001e025fd82bdfb64208932d8b7bf7,484000,Progressive Rock/Italian Singer-songwriter/Art Rock
54VkF8s3BevKAX0JSwuf0O,30OBaYcCeQ71rdVWSpbTgC,7B9i94mmRUGH35kAyuUEDD,Starship Trooper/ Wurm,"Anderson, Squire, Howe",Tales Of Future And Past,2026-05-02T12:27:53,2001,https://i.scdn.co/image/ab67616d00001e0221abc35447440ad3a552fd3a,741960,
1qkp9OvCk8FjeDdEd2bKQ6,7M2EhhKnJYcmluPNzmB35N,4P70aqttdpJ9vuYFDmf7f6,Alpha,Vangelis,Albedo 0.39,2026-05-02T12:15:23,1976,https://i.scdn.co/image/ab67616d00001e02c867681ddaff9580f6d2b81b,344293,New Age
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-02T12:09:04,2014-04-25,https://i.scdn.co/image/ab67616d00001e024a068365405d564e386b556d,687373,Progressive Rock/Art Rock
6aJpPH5jhRicPvPkoHkcuF,4Q7cPyiP8cMIlUEHAqeYfd,36QJpDe2go2KgaRleHCDTp,In the Light - Remaster,Led Zeppelin,Physical Graffiti (Remaster),2026-05-02T12:00:20,1975-02-24,https://i.scdn.co/image/ab67616d00001e025273ac7ada6725bc36a2bcd0,527947,Classic Rock/Rock/Hard Rock/Rock And Roll
